"Date";"$LRCX";"$NVDA";"$MRK";"$AMAT";"$ASML";"$PDD";"$UBER";"$TSM";"$NVO";"$MSFT"
"1992-06-29";;;;;;;;;;1153000000
"1992-12-30";;;;;;;;;;
"1993-03-30";;;;;;;;;;
"1993-06-29";;;;;;;;;;1552000000
"1993-09-29";;;;;;;;;;
"1993-12-30";;;;;;;;;;1712000000
"1994-03-30";;;;;;;;;;1772000000
"1994-06-29";;;;;;;;;;1959000000
"1994-09-29";;;;;;;;;;2094000000
"1994-10-26";;;;412783000;;;;;;
"1994-12-30";;;5221200000;;;;;;;2232000000
"1995-03-30";;;;;;;;;;2439000000
"1995-06-29";157708000;;;;;;;;;2436000000
"1995-09-29";;;;;;;;;;2737000000
"1995-10-26";;;;803175000;;;;;;
"1995-12-30";;-5946000;5563100000;;;;;;;3077000000
"1996-01-27";;;;;;;;;;
"1996-03-30";;;;;;;;;;3468000000
"1996-04-27";;;;;;;;;;
"1996-06-29";259770000;;;;;;;;;3859000000
"1996-07-27";;;;;;;;;;
"1996-09-29";;;;;;;;;;4127000000
"1996-10-26";;;;1092034000;;;;;;
"1996-12-30";196450000;-2191000;6410300000;;;;;;;4448000000
"1997-01-25";;;;924951000;;;;;;
"1997-03-30";71650000;;6625200000;;;;;;;5106000000
"1997-04-26";;;;820116000;;;;;;
"1997-06-29";57000;;6861200000;;;;;;;5871000000
"1997-07-26";;;;863115000;;;;;;
"1997-09-29";-27216000;;7745700000;;;;;;;6194000000
"1997-10-25";;;;1039061000;;;;;;
"1997-12-30";-21523000;-2096000;7428900000;;;;;;;6949000000
"1998-01-24";;;;1338108000;;;;;;
"1998-03-30";-50028000;;7852000000;;;;;;;7574000000
"1998-04-01";;;;;;;;;;
"1998-04-25";;;;1417592000;;;;;;
"1998-06-29";-98258000;;8293100000;;;;;;;8141000000
"1998-07-25";;;;1218081000;;;;;;
"1998-09-29";-112287000;;8997500000;;;;;;;9393000000
"1998-10-24";;1173000;;790198000;;;;;;
"1998-12-30";-202938000;;9353800000;;;;;;;10582000000
"1999-01-30";;8785000;;518205000;;;;;;
"1999-03-30";-119469000;;9641300000;;;;;;;11353000000
"1999-05-01";;19955000;;516587000;;;;;;
"1999-06-29";-41821000;;10228800000;;;;;;;12817000000
"1999-07-31";;41466000;;794633000;;;;;;
"1999-09-25";8717000;;;;;;;;;
"1999-09-29";;;9765300000;;;;;;;13800000000
"1999-10-30";;50686000;;1414108000;;;;;;
"1999-12-25";131877000;;;;;;;;;
"1999-12-30";;;10081200000;;;;;;;14588000000
"2000-01-29";;69709000;;1807705000;;;;;;
"2000-03-25";225299000;;;;;;;;;
"2000-03-30";;;10513300000;;;;;;;15369000000
"2000-04-29";;88846000;;2290044000;;;;;;
"2000-06-24";303483000;;;;;;;;;
"2000-06-29";;;10733700000;;;;;;;15525000000
"2000-07-29";;113264000;;2823584000;;;;;;
"2000-09-23";184200000;;;;;;;;;
"2000-09-29";;;11220900000;;;;;;;15587000000
"2000-10-28";;140863000;;3361189000;;;;;;
"2000-12-23";187746000;;;;;;;;;
"2000-12-30";;;11576900000;;706379000;;;109781100000;5878000000;15727000000
"2001-01-27";;160532000;;3238417000;;;;;;
"2001-03-24";206951000;;;;;;;;;
"2001-03-30";;;11784000000;;;;;;;15980000000
"2001-04-28";;174859000;;3009848000;;;;;;
"2001-06-23";191310000;;;;;;;;;
"2001-06-29";;;11951400000;;;;;;;12686000000
"2001-07-28";;196084000;;2324740000;;;;;;
"2001-09-22";279857000;;;;;;;;;
"2001-09-29";;;12138600000;;;;;;;11128000000
"2001-10-27";;221383000;;1271014000;;;;;;
"2001-12-29";156008000;;;;;;;;;
"2001-12-30";;;11772900000;;-521468000;;;70696300000;7111000000;10624000000
"2002-01-26";;312413000;;866133000;;;;;;
"2002-03-30";57552000;;11713400000;;;;;;;10657000000
"2002-04-27";;399898000;;496860000;;;;;;
"2002-06-29";-43996000;;11597400000;;;;;;;8813000000
"2002-07-27";;363815000;;497422000;;;;;;
"2002-09-27";;;;;;;;;;
"2002-09-28";-53844000;;;;;;;;;
"2002-09-29";;;11247300000;;;;;;;9964000000
"2002-10-26";;264603000;;777394000;;;;;;
"2002-12-28";24542000;;;;;;;;;
"2002-12-30";;;11628200000;;-87932000;;;95959100000;7621000000;9183000000
"2003-01-25";;225240000;;760072000;;;;;;
"2003-03-29";25161000;;;;-62082000;;;;;
"2003-03-30";;;11748000000;;;;;;;8589000000
"2003-04-26";;133528000;;600375000;;;;;;
"2003-06-28";29204000;;;;;;;;;
"2003-06-29";;;11772100000;;-194665000;;;;;12447000000
"2003-07-26";;162353000;;376689000;;;;;;
"2003-09-27";45852000;;;;-159772000;;;;;
"2003-09-29";;;11854700000;;;;;;;13356000000
"2003-10-25";;222816000;;216974000;;;;;;
"2003-12-27";49595000;;;;;;;;;
"2003-12-30";;;10958000000;;-43845000;;;123122000000;8957000000;13097000000
"2004-01-24";;140258000;;;;;;;;
"2004-01-31";;;;412382000;;;;;;
"2004-03-27";70896000;;;;84598000;;;;;
"2004-03-30";;;10919000000;;;;;137191143000;;12045000000
"2004-04-24";;142272000;;;;;;;;
"2004-05-01";;;;1022671000;;;;;;
"2004-06-26";143524000;;;;261470000;;;;;
"2004-06-29";;;10794000000;;;;;148387219000;;13382000000
"2004-07-24";;122392000;;;;;;;;
"2004-07-31";;;;1696404000;;;;;;
"2004-09-25";256159000;;;;332984000;;;;;
"2004-09-29";;;10024300000;;;;;159067007000;;13109000000
"2004-10-23";;146603000;;;;;;;;
"2004-10-30";;;;2237665000;;;;;;
"2004-12-25";356722000;;;;;;;;;
"2004-12-30";;;9747200000;;497126000;;;163137200000;9349000000;15774000000
"2005-01-29";;209789000;;2518316000;;;;;;
"2005-03-26";410742000;;;;603330000;;;;;
"2005-03-30";;;9368300000;;;;;162263727000;;17353000000
"2005-04-30";;267703000;;2412557000;;;;;;
"2005-06-25";423192000;;;;664877000;;;;;
"2005-06-29";;;8922900000;;;;;162152832000;;17483000000
"2005-07-30";;344768000;;2107263000;;;;;;
"2005-09-24";369916000;;;;670481000;;;;;
"2005-09-29";;;9207800000;;;;;156882304000;;18313000000
"2005-10-29";;388608000;;1919821000;;;;;;
"2005-12-24";344566000;;;;;;;;;
"2005-12-30";;;9457500000;;578077000;;;171268400000;10164000000;18404000000
"2006-01-28";;454837000;;1684074000;;;;;;
"2006-03-25";382278000;;;;;;;;;
"2006-03-30";;;9764500000;;;;;188580280000;;18789000000
"2006-04-01";;;;;548317000;;;;;
"2006-04-29";;481554000;;1833038000;;;;;;
"2006-06-24";462467000;;;;;;;;;
"2006-06-29";;;10086100000;;;;;205251969000;;19165000000
"2006-07-01";;;;;620012000;;;;;
"2006-07-29";;502706000;;2205296000;;;;;;
"2006-09-23";619973000;;;;;;;;;
"2006-09-29";;;9446800000;;;;;215058213000;;19669000000
"2006-09-30";;;;;797879000;;;;;
"2006-10-28";;555846000;;2473480000;;;;;;
"2006-12-23";745118000;;;;;;;;;
"2006-12-30";;;8864900000;;999339000;;;209389200000;11306000000;18471000000
"2007-01-27";;602767000;;2847770000;;;;;;
"2007-03-24";837428000;;;;;;;;;
"2007-03-30";;;9030100000;;;;;197375138000;;21395000000
"2007-03-31";;;;;1122436000;;;;;
"2007-04-28";;653082000;;2852427000;;;;;;
"2007-06-23";903637000;;;;;;;;;
"2007-06-29";;;9126800000;;;;;190700863000;;21541000000
"2007-06-30";;;;;1103030000;;;;;
"2007-07-28";;757089000;;2819511000;;;;;;
"2007-09-22";888687000;;;;;;;;;
"2007-09-29";;;9889800000;;1080621000;;;196992598000;;22902000000
"2007-10-27";;903538000;;2746618000;;;;;;
"2007-12-22";844951000;;;;;;;;;
"2007-12-30";;;5743200000;;1019211000;;;201734300000;13978000000;26033000000
"2008-01-26";;1034587000;;2582363000;;;;;;
"2008-03-29";778139000;;;;976728000;;;;;
"2008-03-30";;;7760700000;;;;;214664477000;;23959000000
"2008-04-26";;1103840000;;2438413000;;;;;;
"2008-06-28";644354000;;;;1034724000;;;;;
"2008-06-29";;;7409100000;;;;;217543829000;;25870000000
"2008-07-26";;770803000;;2011240000;;;;;;
"2008-09-27";471028000;;;;900314000;;;;;
"2008-09-29";;;6637800000;;;;;213005692000;;25795000000
"2008-10-25";;581281000;;1749275000;;;;;;
"2008-12-27";270959000;;;;;;;;;
"2008-12-30";;;11689000000;;483134000;;;193009400000;15137000000;24764000000
"2009-01-24";;142475000;;1151497000;;;;;;
"2009-03-28";-39880000;;;;278042000;;;;;
"2009-03-30";;;9070500000;;;;;162955030000;;24136000000
"2009-04-25";;-286064000;;312381000;;;;;;
"2009-06-27";-184179000;;;;-107541000;;;;;
"2009-06-29";;;9110600000;;;;;153392554000;;22421000000
"2009-07-25";;-243549000;;-16550000;;;;;;
"2009-09-26";-181046000;;;;-147107000;;;;;
"2009-09-29";;;12807300000;;;;;160456143000;;21294000000
