"Date";"$LRCX";"$NVDA";"$MRK";"$AMAT";"$ASML";"$PDD";"$UBER";"$TSM";"$NVO";"$MSFT"
"1992-06-29";;;;;;;;;;35,70134106560348
"1992-12-30";;;;;;;;;;0
"1993-03-30";;;;;;;;;;0
"1993-06-29";;;;;;;;;;35,14521715960564
"1993-09-29";;;;;;;;;;34,9412965798877
"1993-12-30";;;;;;;;;;35,43441226575809
"1994-03-30";;;;;;;;;;33,53811149032992
"1994-06-29";;;;;;;;;;36,78210367821037
"1994-09-29";;;;;;;;;;36,759617341746385
"1994-10-26";;;;20,438340120266997;;;;;;
"1994-12-30";;;30,721853331373833;;;;;;;36,32738321306495
"1995-03-30";;;;;;;;;;37,54679978605812
"1995-06-29";14,606252243827392;;;;;;;;;33,28280276233788
"1995-09-29";;;;;;;;;;33,44765881300328
"1995-10-26";;;;22,66358490091548;;;;;;
"1995-12-30";0;-547,3773265651438;27,549741923494253;;;;;;;33,818573931796735
"1996-01-27";;;;0;;;;;;
"1996-03-30";0;;0;;;;;;;34,017668284185646
"1996-04-27";;;;0;;;;;;
"1996-06-29";16,421765226271525;;0;;;;;;;35,278514588859416
"1996-07-27";;;;0;;;;;;
"1996-09-29";13,948630649916163;;0;;;;;;;35,79888268156425
"1996-10-26";;;;21,799539038756112;;;;;;
"1996-12-30";10,918667147610273;-76,5081799591002;26,128288793516468;;;;;;;36,59777424483307
"1997-01-25";;;;18,11478794613114;;;;;;
"1997-03-30";0,7558331132261391;;25,87773528481468;;;;;;;39,883119371527116
"1997-04-26";;;;15,626659700190142;;;;;;
"1997-06-29";-5,663079565075192;;25,57736456513587;;;;;;;40,8093163538874
"1997-07-26";;;;16,4462874814937;;;;;;
"1997-09-29";-8,507938417693023;;25,032331034724624;;;;;;;39,76196069219325
"1997-10-25";;;;18,65117106724509;;;;;;
"1997-12-30";-8,200523013219245;-11,898455505486567;24,807398601339433;;;;;;;41,35712196548699
"1998-01-24";;;;22,71890007091662;;;;;;
"1998-03-30";-10,360748166113083;;24,664494898001475;;;;;;;42,40275242241258
"1998-04-01";;0;;;;;;;;
"1998-04-25";;;;22,737065702568295;;;;;;
"1998-06-29";-17,188524263100593;;24,358621248329214;;;;;;;42,02594679596383
"1998-07-25";;0;;18,824781324049965;;;;;;
"1998-09-29";-21,53020525849884;;28,96568696385881;;;;;;;45,54977029096478
"1998-10-24";;-2,1060963229347696;;10,440174096434793;;;;;;
"1998-12-30";-37,40370320313556;;20,822211151675578;;;;;;;47,599665458600505
"1999-01-30";;2,853946927709701;;4,5660254472607615;;;;;;
"1999-03-30";-28,872203649783724;;20,960244712980288;;;;;;;47,446150565152486
"1999-05-01";;7,291832510746696;;4,157373790684708;;;;;;
"1999-06-29";-17,470503352856294;;21,191756422124122;;;;;;;50,69124423963134
"1999-07-31";;12,976861826697892;;9,864235585826219;;;;;;
"1999-09-25";-7,945802300966899;;;;;;;;;
"1999-09-29";;;17,475616422591134;;;;;;;51,18444932658325
"1999-10-30";;13,475851046417212;;18,893974493662267;;;;;;
"1999-12-25";7,081827566961165;;;;;;;;;
"1999-12-30";;;24,18414134621263;;;;;;;50,02974147792267
"2000-01-29";;15,651860455801659;;22,148342278464803;;;;;;
"2000-03-25";14,434682735077326;;;;;;;;;
"2000-03-30";;;24,10377122840426;;;;;;;49,9214522604294
"2000-04-29";;16,63340487200478;;25,29709316030845;;;;;;
"2000-06-24";18,674696347887128;;;;;;;;;
"2000-06-29";;;24,160551854732358;;;;;;;47,943892664227214
"2000-07-29";;17,403844210812508;;27,502382893110155;;;;;;
"2000-09-23";17,50063358821093;;;;;;;;;
"2000-09-29";;;24,042113715484135;;;;;;;47,10772131288028
"2000-10-28";;18,013604936320778;;29,434229725779275;;;;;;
"2000-12-23";16,39765041631497;;;;;;;;;
"2000-12-30";;;23,308855591231616;;20,28971462566835;;;36,88061680794428;23,14160780356542;47,34606325706595
"2001-01-27";;17,427073812943377;;28,752475631709878;;;;;;
"2001-03-24";15,731624259307845;;;;;;;;;
"2001-03-30";;;22,344307814359382;;;;;;;46,9763079557966
"2001-04-28";;16,325465469311222;;26,55631361607868;;;;;;
"2001-06-23";12,273545867222357;;;;;;;;;
"2001-06-29";;;21,36350584233428;;;;;;;46,3314358001265
"2001-07-28";;16,40652427523196;;22,16199649328606;;;;;;
"2001-09-22";11,13650956227024;;;;;;;;;
"2001-09-29";;;21,179364762756542;;;;;;;46,14904895541004
"2001-10-27";;15,790668089789586;;12,666683734500047;;;;;;
"2001-12-29";2,19691425996947;;;;;;;;;
