"Date","$LRCX","$NVDA","$MRK","$AMAT","$ASML","$PDD","$UBER","$TSM","$NVO","$MSFT"
"1992-06-29",,,,,,,,,,2759000000
"1992-12-30",,,,,,,,,,
"1993-03-30",,,,,,,,,,
"1993-06-29",,,,,,,,,,3753000000
"1993-09-29",,,,,,,,,,3918000000
"1993-12-30",,,,,,,,,,4109000000
"1994-03-30",,,,,,,,,,4395000000
"1994-06-29",,,,,,,,,,4649000000
"1994-09-29",,,,,,,,,,4913000000
"1994-10-26",,,,1659807000,,,,,,
"1994-12-30",,,14969800000,,,,,,,5266000000
"1995-03-30",,,,,,,,,,5609000000
"1995-06-29",810557000,,,,,,,,,5937000000
"1995-09-29",,,,,,,,,,6706000000
"1995-10-26",,,,3061881000,,,,,,
"1995-12-30",,1182000,16681100000,,,,,,,7419000000
"1996-01-27",,,,,,,,,,
"1996-03-30",,,,,,,,,,8037000000
"1996-04-27",,,,,,,,,,
"1996-06-29",1332713000,,,,,,,,,8671000000
"1996-07-27",,,,,,,,,,
"1996-09-29",1368715000,,,,,,,,,8950000000
"1996-10-26",,,,4144817000,,,,,,
"1996-12-30",1336262000,3912000,19828700000,,,,,,,9435000000
"1997-01-25",,,,3940013000,,,,,,
"1997-03-30",1222889000,,20866200000,,,,,,,10438000000
"1997-04-26",,,,3713020000,,,,,,
"1997-06-29",1073197000,,21866600000,,,,,,,11936000000
"1997-07-26",,,,3654837000,,,,,,
"1997-09-29",1063877000,,22810900000,,,,,,,12771000000
"1997-10-25",,,,4074275000,,,,,,
"1997-12-30",1097869000,29071000,23636900000,,,,,,,13676000000
"1998-01-24",,,,4546184000,,,,,,
"1998-03-30",1104621000,,24127800000,,,,,,,14242000000
"1998-04-01",,,,,,,,,,
"1998-04-25",,,,4821638000,,,,,,
"1998-06-29",1052586000,,24689000000,,,,,,,15262000000
"1998-07-25",,,,4648888000,,,,,,
"1998-09-29",904859000,,25599600000,,,,,,,16325000000
"1998-10-24",,116234000,,4330014000,,,,,,
"1998-12-30",754698000,,26898200000,,,,,,,17935000000
"1999-01-30",,158237000,,3764806000,,,,,,
"1999-03-30",667656000,,28376100000,,,,,,,18756000000
"1999-05-01",,200992000,,3759152000,,,,,,
"1999-06-29",647955000,,29923900000,,,,,,,19747000000
"1999-07-31",,266875000,,4365356000,,,,,,
"1999-09-25",747338000,,,,,,,,,
"1999-09-29",,,31281300000,,,,,,,20938000000
"1999-10-30",,311587000,,5096302000,,,,,,
"1999-12-25",894063000,,,,,,,,,
"1999-12-30",,,32714000000,,,,,,,21855000000
"2000-01-29",,374505000,,5997117000,,,,,,
"2000-03-25",1067436000,,,,,,,,,
"2000-03-30",,,34028700000,,,,,,,22916000000
"2000-04-29",,451970000,,7016486000,,,,,,
"2000-06-24",1230767000,,,,,,,,,
"2000-06-29",,,35487600000,,,,,,,22956000000
"2000-07-29",,544351000,,8257819000,,,,,,
"2000-09-23",1294216000,,,,,,,,,
"2000-09-29",,,37859400000,,,,,,,23338000000
"2000-10-28",,645501000,,9564412000,,,,,,
"2000-12-23",1389693000,,,,,,,,,
"2000-12-30",,,40363200000,,2501886270,,,4991856878,2931126761,23776000000
"2001-01-27",,735264000,,10205476000,,,,,,
"2001-03-24",1528469000,,,,,,,,,
"2001-03-30",,,42857000000,,,,,,,24523000000
"2001-04-28",,827713000,,10154862000,,,,,,
"2001-06-23",1519789000,,,,,,,,,
"2001-06-29",,,45273000000,,,,,,,25296000000
"2001-07-28",,917190000,,8998738000,,,,,,
"2001-09-22",1554338000,,,,,,,,,
"2001-09-29",,,46625100000,,,,,,,25656000000
"2001-10-27",,1084001000,,7343248000,,,,,,
"2001-12-29",1429414000,,,,,,,,,
"2001-12-30",,,21199000000,,1412706695,,,3593342106,3348732394,26847000000
"2002-01-26",,1369471000,,5980454000,,,,,,
"2002-03-30",1128394000,,22023200000,,,,,,,27689000000
"2002-04-27",,1711444000,,4997509000,,,,,,
"2002-06-29",943114000,,22939800000,,,,,,,28365000000
"2002-07-27",,1878854000,,4881287000,,,,,,
"2002-09-27",,,,,,,,,,
"2002-09-28",801054000,,,,,,,,,
"2002-09-29",,,16446300000,,,,,,,29985000000
"2002-10-26",,1944182000,,5062312000,,,,,,
"2002-12-28",726450000,,,,,,,,,
"2002-12-30",,,21445800000,,2055366728,,,4676038092,3502253521,30785000000
"2003-01-25",,1909447000,,5116061000,,,,,,
"2003-03-29",749404000,,,,2256181692,,,,,
"2003-03-30",,,29864900000,,,,,,,31375000000
"2003-04-26",,1731525000,,5066766000,,,,,,
"2003-06-28",755234000,,,,,,,,,
"2003-06-29",,,22580600000,,2088479129,,,,,32187000000
"2003-07-26",,1764014000,,4701991000,,,,,,
"2003-09-27",741452000,,,,2108840734,,,,,
"2003-09-29",,,22916500000,,,,,,,32656000000
"2003-10-25",,1819779000,,4477291000,,,,,,
"2003-12-27",748391000,,,,,,,,,
"2003-12-30",,,22485900000,,1942719667,,,5972826858,4388926174,34268000000
"2004-01-24",,1822945000,,,,,,,,
"2004-01-31",,,,4978530000,,,,,,
"2004-03-27",792460000,,,,2038617824,,,,,
"2004-03-30",,,22545300000,,,,,6700707689,,35608000000
"2004-04-24",,1889867000,,,,,,,,
"2004-05-01",,,,5889458000,,,,,,
"2004-06-26",935946000,,,,2388053173,,,,,
"2004-06-29",,,23041600000,,,,,7009526003,,36835000000
"2004-07-24",,1886154000,,,,,,,,
"2004-07-31",,,,7030703000,,,,,,
"2004-09-25",1171757000,,,,2710545040,,,,,
"2004-09-29",,,22817700000,,,,,7385817480,,37809000000
"2004-10-23",,1915676000,,,,,,,,
"2004-10-30",,,,8013053000,,,,,,
"2004-12-25",1360049000,,,,,,,,,
"2004-12-30",,,22972800000,,3342933929,,,8100497177,5508728653,38474000000
"2005-01-29",,2010033000,,8238181000,,,,,,
"2005-03-26",1478258000,,,,3494104949,,,,,
"2005-03-30",,,22704100000,,,,,8109995891,,38919000000
"2005-04-30",,2121974000,,8081265000,,,,,,
"2005-06-25",1502453000,,,,3437433438,,,,,
"2005-06-29",,,22149900000,,,,,7957130893,,39788000000
"2005-07-30",,2240725000,,7477051000,,,,,,
"2005-09-24",1403811000,,,,3342871989,,,,,
"2005-09-29",,,22028000000,,,,,7490171225,,40340000000
"2005-10-29",,2308549000,,6991823000,,,,,,
"2005-12-24",1382256000,,,,,,,,,
"2005-12-30",,,22011900000,,2988132387,,,8004816131,6369811321,41359000000
"2006-01-28",,2375687000,,7068839000,,,,,,
"2006-03-25",1470342000,,,,,,,,,
"2006-03-30",,,22059400000,,,,,8879944618,,42639000000
"2006-04-01",,,,,2995538801,,,,,
"2006-04-29",,2473648000,,7455336000,,,,,,
"2006-06-24",1642171000,,,,,,,,,
"2006-06-29",,,22363600000,,,,,9571743432,,44282000000
"2006-07-01",,,,,3381579451,,,,,
"2006-07-29",,2586355000,,8366841000,,,,,,
"2006-09-23",1925651000,,,,,,,,,
"2006-09-29",,,22357800000,,,,,9769039542,,45352000000
"2006-09-30",,,,,3898733760,,,,,
"2006-10-28",,2823512000,,9167014000,,,,,,
"2006-12-23",2200806000,,,,,,,,,
"2006-12-30",,,22636000000,,4712856957,,,9734483718,7241682243,46057000000
"2007-01-27",,3068771000,,9586689000,,,,,,
"2007-03-24",2413653000,,,,,,,,,
"2007-03-30",,,22995600000,,,,,9163769788,,49555000000
"2007-03-31",,,,,5202573376,,,,,
"2007-04-28",,3231244000,,9868564000,,,,,,
"2007-06-23",2566576000,,,,,,,,,
"2007-06-29",,,23335300000,,,,,9053416997,,51122000000
"2007-06-30",,,,,5258721555,,,,,
"2007-07-28",,3478978000,,9886105000,,,,,,
"2007-09-22",2646810000,,,,,,,,,
"2007-09-29",,,23999000000,,5499044007,,,9345793616,,54073000000
"2007-10-27",,3774003000,,9734856000,,,,,,
"2007-12-22",2623730000,,,,,,,,,
"2007-12-30",,,24197700000,,5508011659,,,9947341438,7818878505,57898000000
"2008-01-26",,4097860000,,9544986000,,,,,,
"2008-03-29",2587270000,,,,5899029010,,,,,
"2008-03-30",,,24250500000,,,,,11414188692,7967663551,57954000000
"2008-04-26",,4406968000,,9165423000,,,,,,
"2008-06-28",2474911000,,,,5757193227,,,,,
"2008-06-29",,,24190900000,,,,,11803654677,8069906542,60420000000
"2008-07-26",,4364391000,,8452607000,,,,,,
"2008-09-27",2230651000,,,,4995429942,,,,,
"2008-09-29",,,24060700000,,,,,11012899098,8208598131,61719000000
"2008-10-25",,4146449000,,8129240000,,,,,,
"2008-12-27",1903740000,,,,,,,,,
"2008-12-30",,,23850000000,,4116326064,,,10150229986,8514579439,61981000000
"2009-01-24",,3424859000,,7375239000,,,,,,
"2009-03-28",1464342000,,,,2949831833,,,,,
"2009-03-30",,,23413000000,,,,,8413036026,8866728972,61175000000
"2009-04-25",,2935702000,,6245318000,,,,,,
"2009-06-27",1115946000,,,,2324957636,,,,,
"2009-06-29",,,23261100000,,,,,8143174297,9220186916,58437000000
"2009-07-25",,2819546000,,5530890000,,,,,,
"2009-09-26",994133000,,,,2213786812,,,,,
"2009-09-29",,,23366900000,,,,,8600305155,9457757009,56296000000
"2009-10-24",,2825097000,,5014000000,,,,,,
"2009-12-26",1197900000,,,,,,,,,
"2009-12-30",,,27428000000,,2288594309,,,9249051646,9547289720,58689000000
"2010-01-30",,3326445000,,5529604000,,,,,,
"2010-03-27",1656251000,,,,2882708566,,,,,
"2010-03-30",,,33464800000,,,,,10959640523,9767102804,59544000000
"2010-05-01",,3664027000,,6805527000,,,,,,
"2010-06-26",2133776000,,,,3634421415,,,,,
"2010-06-29",,,38910900000,,,,,11893321618,10214392523,62484000000
"2010-07-31",,3698715000,,8189787000,,,,,,
"2010-09-25",2621102000,,,,4797803859,,,,,
"2010-09-29",,,43986200000,,,,,12847310261,10787663551,65759000000
"2010-10-30",,3639421000,,9549000000,,,,,,
"2010-12-25",3004640000,,,,,,,,,
"2010-12-30",,,45987000000,,6027041842,,,14396266546,11360000000,66690000000
"2011-01-29",,3543309000,,10387000000,,,,,,
"2011-03-26",3180964000,,,,7358913467,,,,,
"2011-03-30",,,46145000000,,,,,14619254092,11737383178,68615000000
"2011-04-30",,3503535000,,10953000000,,,,,,
"2011-06-25",3237693000,,,,8066895552,,,,,
"2011-06-29",,,46950000000,,,,,15029959193,11850841121,69943000000
"2011-07-30",,3708844000,,11222000000,,,,,,
"2011-09-24",3112255000,,,,8024619535,,,,,
"2011-09-29",,,47847000000,,,,,14190003978,12028037383,71120000000
"2011-10-29",,3931112000,,10517000000,,,,,,
"2011-12-24",2825522000,,,,,,,,,
"2011-12-30",,,48047000000,,7315407180,,,14101124414,12401121495,72052000000
"2012-01-28",,3997930000,,10019000000,,,,,,
