"Date","$LRCX","$NVDA","$MRK","$AMAT","$ASML","$PDD","$UBER","$TSM","$NVO","$MSFT"
"1992-06-29",,,,,,,,,,9408000000
"1992-12-30",,,,,,,,,,9696000000
"1993-03-30",,,,,,,,,,9728000000
"1993-06-29",,,,,,,,,,9696000000
"1993-09-29",,,,,,,,,,9696000000
"1993-12-30",,,,,,,,,,9728000000
"1994-03-30",,,,,,,,,,9728000000
"1994-06-29",,,,,,,,,,9760000000
"1994-09-29",,,,,,,,,,9952000000
"1994-10-26",,,,1360336000,,,,,,
"1994-12-30",,,,,,,,,,10000000000
"1995-03-30",,,,,,,,,,10016000000
"1995-06-29",819000000,,,,,,,,,10032000000
"1995-09-29",,,,,,,,,,10240000000
"1995-10-26",,,,1418784000,,,,,,
"1995-12-30",849000000,5455200000,2472200000,,,,,,,10208000000
"1996-01-27",,,,1472008000,,,,,,
"1996-03-30",846000000,,2454000000,,,,,,,10224000000
"1996-04-27",,,,1469592000,,,,,,
"1996-06-29",1012590000,,2429800000,,,,,,,10248000000
"1996-07-27",,,,1466872000,,,,,,
"1996-09-29",1121430000,,2411200000,,,,,,,10352000000
"1996-10-26",,,,1436416000,,,,,,
"1996-12-30",1101270000,5463840000,2427200000,,,,,,,10432000000
"1997-01-25",,,,1445632000,,,,,,
"1997-03-30",1107840000,,2417800000,,,,,,,10576000000
"1997-04-26",,,,1451384000,,,,,,
"1997-06-29",1107570000,,2415800000,,,,,,,10496000000
"1997-07-26",,,,1456048000,,,,,,
"1997-09-29",1128000000,,2411600000,,,,,,,10664000000
"1997-10-25",,,,1454168000,,,,,,
"1997-12-30",1140000000,6084960000,2409000000,,,,,,,9653531536
"1998-01-24",,,,1467576000,,,,,,
"1998-03-30",1140750000,,2390100000,,,,,,,9739270912
"1998-04-01",,6787680000,,,,,,,,
"1998-04-25",,,,1463744000,,,,,,
"1998-06-29",1141710000,,2389800000,,,,,,,9856289020
"1998-07-25",,6791040000,,1467768000,,,,,,
"1998-09-29",1152000000,,2376800000,,,,,,,9938542680
"1998-10-24",,6799200000,,1524304000,,,,,,
"1998-12-30",1152000000,,2378800000,,,,,,,9974267796
"1999-01-30",,6991200000,,1482120000,,,,,,
"1999-03-30",1160220000,,2361900000,,,,,,,10093837928
"1999-05-01",,14052960000,,1552260000,,,,,,
"1999-06-29",1154760000,,2357600000,,,,,,,10056000000
"1999-07-31",,14084880000,,1563108000,,,,,,
"1999-09-25",1172520000,,,,,,,,,
"1999-09-29",,,2343000000,,,,,,,10258000000
"1999-10-30",,14407200000,,1557208000,,,,,,
"1999-12-25",1193430000,,,,,,,,,
"1999-12-30",,,2349000000,,,,,,,10326000000
"2000-01-29",,14338560000,,1596192000,,,,,,
"2000-03-25",1226460000,,,,,,,,,
"2000-03-30",,,2317500000,,,,,,,10418000000
"2000-04-29",,15206400000,,1610284000,,,,,,
"2000-06-24",1209490000,,,,,,,,,
"2000-06-29",,,2300200000,,,,,,,10378000000
"2000-07-29",,15508080000,,1618690000,,,,,,
"2000-09-23",1244770000,,,,,,,,,
"2000-09-29",,,2299400000,,,,,,,10598000000
"2000-10-28",,15840600000,,1613160000,,,,,,
"2000-12-23",1234200000,,,,,,,,,
"2000-12-30",,,2306900000,,410566222,,,24306315377,,10660000000
"2001-01-27",,15719760000,,1620874000,,,,,,
"2001-03-24",1231820000,,,,,,,,,
"2001-03-30",,,2303700000,,,,,,,10672000000
"2001-04-28",,16637160000,,1622708000,,,,,,
"2001-06-23",1238560000,,,,,,,,,
"2001-06-29",,,2290800000,,,,,,,10683000000
"2001-07-28",,17025120000,,1629840000,,,,,,
"2001-09-22",1253400000,,,,,,,,,
"2001-09-29",,,2282900000,,,,,,,10796000000
"2001-10-27",,17282040000,,1626404000,,,,,,
"2001-12-29",1256740000,,,,,,,,,
"2001-12-30",,,2288300000,,414103111,,,25111851817,,10790000000
"2002-01-26",,17161800000,,1636418000,,,,,,
