"Date","$LRCX","$NVDA","$MRK","$AMAT","$ASML","$PDD","$UBER","$TSM","$NVO","$MSFT"
"1992-06-29",,,,,,,,,,0
"1992-12-30",,,,,,,,,,0
"1993-03-30",,,,,,,,,,0
"1993-06-29",,,,,,,,,,2290000000
"1993-09-29",,,,,,,,,,0
"1993-12-30",,,,,,,,,,2796000000
"1994-03-30",,,,,,,,,,3143000000
"1994-06-29",,,,,,,,,,3614000000
"1994-09-29",,,,,,,,,,3776000000
"1994-10-26",,,,0,,,,,,
"1994-12-30",,,0,,,,,,,3839000000
"1995-03-30",,,,,,,,,,4465000000
"1995-06-29",0,,,,,,,,,4750000000
"1995-09-29",,,,,,,,,,5064000000
"1995-10-26",,,,769332000,,,,,,
"1995-12-30",0,0,3349800000,,,,,,,6017000000
"1996-01-27",,,,0,,,,,,
"1996-03-30",0,,0,,,,,,,6770000000
"1996-04-27",,,,0,,,,,,
"1996-06-29",130484000,,0,,,,,,,6940000000
"1996-07-27",,,,0,,,,,,
"1996-09-29",0,,0,,,,,,,7098000000
"1996-10-26",,,,1037632000,,,,,,
"1996-12-30",160367000,3133000,2181600000,,,,,,,9160000000
"1997-01-25",,,,1066439000,,,,,,
"1997-03-30",163210000,,2598900000,,,,,,,9086000000
"1997-04-26",,,,1074850000,,,,,,
"1997-06-29",195693000,,2716400000,,,,,,,8966000000
"1997-07-26",,,,1103723000,,,,,,
"1997-09-29",471575000,,2166900000,,,,,,,9634000000
"1997-10-25",,,,1542955000,,,,,,
"1997-12-30",446718000,6551000,2309300000,,,,,,,10105000000
"1998-01-24",,,,1398826000,,,,,,
"1998-03-30",402253000,,2809400000,,,,,,,12322000000
"1998-04-01",,0,,,,,,,,
"1998-04-25",,,,1216165000,,,,,,
"1998-06-29",448513000,,2793600000,,,,,,,13927000000
"1998-07-25",,0,,1602767000,,,,,,
"1998-09-29",391197000,,4014500000,,,,,,,17242000000
"1998-10-24",,12461000,,1763556000,,,,,,
"1998-12-30",362867000,,3355700000,,,,,,,19237000000
"1999-01-30",,50257000,,1924313000,,,,,,
"1999-03-30",354169000,,3096300000,,,,,,,21761000000
"1999-05-01",,51823000,,2017640000,,,,,,
"1999-06-29",372149000,,3541300000,,,,,,,17236000000
"1999-07-31",,46757000,,2258615000,,,,,,
"1999-09-25",374600000,,,,,,,,,
"1999-09-29",,,3779900000,,,,,,,18902000000
"1999-10-30",,55200000,,2819375000,,,,,,
"1999-12-25",387708000,,,,,,,,,
"1999-12-30",,,3202400000,,,,,,,17843000000
"2000-01-29",,61560000,,3004177000,,,,,,
"2000-03-25",381826000,,,,,,,,,
"2000-03-30",,,3292700000,,,,,,,21205000000
"2000-04-29",,269800000,,3373928000,,,,,,
"2000-06-24",432070000,,,,,,,,,
"2000-06-29",,,3911700000,,,,,,,23798000000
"2000-07-29",,289205000,,3747328000,,,,,,
"2000-09-23",434117000,,,,,,,,,
"2000-09-29",,,2835100000,,,,,,,24711000000
"2000-10-28",,694883000,,4228039000,,,,,,
"2000-12-23",457537000,,,,,,,,,
"2000-12-30",,,4254600000,,0,,,0,0,26889000000
"2001-01-27",,698775000,,3934002000,,,,,,
"2001-03-24",505216000,,,,,,,,,
"2001-03-30",,,4000100000,,,,,,,30018000000
