Symbol,Net Income Growth (3Y),Net Income Growth (5Y),EPS Growth (5Y),EPS Growth (3Y),Revenue Growth (5Y),Revenue Growth (3Y),EPS Growth,Net Income Growth,Revenue Growth (YoY),FCF Growth,Gross Profit Growth,Operating Income Growth,Net Cash Growth
VRTX,,,,,24.51%,15.65%,,,8.76%,,6.93%,,-53.56%
C,-27.30%,-14.77%,-12.78%,-28.06%,1.59%,2.86%,-42.47%,-38.61%,1.84%,,-2.55%,-35.16%,
PANW,,,,,22.59%,23.55%,468.75%,486.22%,16.46%,17.85%,19.77%,76.58%,285.81%
BUD,-6.10%,-7.30%,-11.07%,-8.94%,5.78%,3.74%,58.12%,59.14%,8.38%,31.46%,5.13%,0.87%,
ADP,12.59%,10.19%,11.55%,14.01%,6.43%,8.31%,11.40%,10.21%,6.63%,24.96%,8.43%,10.86%,
NKE,-4.48%,4.26%,5.42%,-2.63%,4.66%,2.68%,7.72%,4.93%,-2.83%,61.66%,0.12%,1.58%,
BA,,,,,-3.37%,5.29%,,,-3.25%,,-66.70%,,
MDT,0.38%,-2.34%,-1.97%,1.15%,1.22%,1.02%,9.23%,8.51%,3.23%,15.77%,2.42%,-8.40%,
FI,33.03%,26.87%,19.16%,39.06%,21.20%,8.39%,8.58%,2.79%,6.99%,16.84%,11.70%,19.17%,
UPS,-4.74%,2.01%,2.34%,-3.86%,4.30%,-1.08%,-46.75%,-47.53%,-6.94%,-25.10%,-15.83%,-36.56%,
SBUX,12.92%,2.76%,4.76%,14.15%,6.95%,10.39%,8.84%,7.60%,4.17%,23.69%,5.64%,7.86%,
ADI,-0.90%,2.13%,-3.45%,-10.01%,9.78%,14.25%,-54.63%,-55.88%,-24.43%,-20.12%,-32.98%,-51.11%,
CB,4.28%,22.42%,25.27%,7.50%,10.53%,10.61%,44.12%,42.02%,13.25%,22.30%,15.34%,26.74%,
GILD,-41.13%,-29.29%,-29.44%,-41.81%,4.46%,1.44%,-81.38%,-80.80%,1.54%,-22.74%,-3.19%,-69.83%,
RIO,19.90%,,,26.93%,,-3.71%,-18.92%,-18.83%,-2.72%,-13.86%,7.13%,29.28%,
MU,-48.99%,-34.21%,-33.81%,-48.55%,1.42%,-3.22%,,,61.59%,,,,
BMY,,,,,14.43%,1.42%,,,5.56%,18.09%,3.31%,,
DE,14.78%,19.91%,23.23%,19.36%,7.62%,9.68%,-13.22%,-18.11%,-8.79%,43.28%,-2.28%,-5.60%,
IBN,79.57%,94.73%,67.93%,72.79%,76.18%,52.42%,29.52%,30.03%,26.78%,,57.77%,113.79%,
MMC,14.07%,21.78%,22.53%,15.35%,8.26%,7.83%,17.00%,16.21%,7.84%,5.34%,7.84%,18.91%,
SONY,-2.05%,3.18%,4.16%,-1.55%,8.63%,12.04%,-3.05%,-3.69%,13.64%,412.40%,4.65%,-1.81%,
PLD,16.10%,11.60%,3.18%,7.69%,18.96%,19.76%,5.41%,2.27%,0.06%,,-0.98%,3.88%,
MELI,,145.56%,179.97%,,57.43%,46.66%,84.33%,84.81%,39.83%,36.73%,33.40%,25.81%,86.22%
SHOP,-19.63%,,,-20.33%,43.04%,26.30%,,,23.18%,929.60%,31.64%,,10.01%
INTC,,,,,-5.08%,-11.58%,,,2.62%,,-6.72%,,
UBS,88.80%,36.37%,10.24%,98.52%,2.77%,13.69%,275.56%,264.99%,18.14%,541.46%,41.35%,-67.24%,
AMT,-23.49%,-7.08%,-7.89%,-24.36%,7.23%,6.92%,57.62%,55.37%,2.59%,25.70%,3.66%,58.92%,
SO,16.39%,0.63%,-0.28%,15.28%,3.89%,5.57%,56.57%,55.58%,0.66%,,20.64%,51.75%,
TD,-4.21%,-1.68%,-1.40%,-4.50%,5.36%,4.98%,-40.87%,-40.48%,2.98%,,2.98%,-35.93%,
LRCX,-1.65%,13.82%,17.92%,1.49%,10.44%,-0.34%,4.92%,2.12%,-1.55%,7.49%,4.31%,0.11%,528.65%
ELV,5.17%,8.35%,10.82%,7.15%,11.70%,9.17%,9.18%,7.04%,3.32%,-89.44%,3.11%,7.35%,-23.24%
PLTR,,,,,33.01%,23.12%,,,21.22%,85.53%,24.66%,,30.89%
HCA,4.93%,9.50%,15.43%,13.39%,6.95%,6.86%,5.14%,-0.57%,10.38%,-0.91%,14.89%,9.62%,
DELL,1.69%,9.41%,-4.54%,3.91%,0.05%,1.12%,110.47%,108.61%,-1.90%,-36.26%,-5.89%,1.04%,
MDLZ,-5.02%,-0.44%,1.10%,-3.52%,7.04%,8.43%,-15.82%,-16.90%,2.13%,5.48%,4.84%,15.24%,
MO,54.76%,42.25%,44.54%,58.47%,-0.97%,-2.68%,21.02%,17.41%,-2.44%,0.17%,-0.23%,-3.58%,
REGN,-12.70%,16.77%,16.69%,-13.55%,22.32%,0.74%,15.32%,16.62%,5.72%,-24.87%,5.93%,-5.87%,-1.64%
SHW,9.14%,12.91%,15.16%,11.25%,5.25%,5.43%,7.49%,5.73%,0.10%,-16.13%,6.97%,6.62%,
