Symbol,Return on Assets (5Y),Return on Capital,Return on Assets,Return on Capital (5Y),Asset Turnover
VRTX,19.62%,,-2.20%,20.52%,0.47
C,0.68%,1.01%,0.30%,2.21%,0.03
PANW,1.30%,27.38%,14.50%,3.82%,0.45
BUD,2.16%,6.52%,2.90%,4.61%,0.29
ADP,5.76%,26.64%,6.80%,39.67%,0.35
NKE,13.82%,18.92%,14.10%,19.38%,1.33
BA,-3.26%,-19.53%,-5.80%,-12.20%,0.53
MDT,4.54%,5.47%,4.40%,6.02%,0.36
FI,2.38%,8.78%,3.40%,4.44%,0.23
UPS,11.18%,13.23%,7.60%,20.80%,1.29
SBUX,12.34%,24.01%,13.80%,26.94%,1.24
ADI,5.78%,4.38%,3.40%,7.25%,0.20
CB,3.14%,12.85%,4.20%,8.92%,0.23
GILD,6.90%,4.15%,1.80%,10.21%,0.48
RIO,12.62%,15.39%,10.00%,20.32%,0.54
MU,4.32%,1.40%,1.20%,4.84%,0.38
BMY,3.82%,-10.28%,-7.60%,5.02%,0.50
DE,6.84%,12.03%,7.90%,9.85%,0.54
IBN,1.44%,25.77%,2.00%,20.75%,0.11
MMC,7.66%,14.96%,8.30%,11.99%,0.49
SONY,3.14%,7.42%,2.90%,9.33%,0.39
PLD,4.04%,4.29%,3.30%,4.70%,0.08
MELI,,17.62%,7.70%,4.06%,0.96
SHOP,-1.06%,6.72%,11.50%,-3.85%,0.70
INTC,9.56%,-6.35%,-8.10%,10.01%,0.28
UBS,1.14%,0.26%,3.30%,1.62%,0.05
AMT,3.56%,6.76%,1.70%,5.77%,0.17
SO,2.84%,5.95%,3.30%,4.90%,0.19
TD,0.74%,1.98%,0.50%,5.21%,0.03
LRCX,23.02%,29.34%,21.50%,32.43%,0.83
ELV,5.86%,10.22%,5.70%,10.60%,1.55
PLTR,-23.08%,6.37%,8.60%,-8.36%,0.53
HCA,10.10%,18.74%,10.20%,18.44%,1.21
DELL,3.60%,23.95%,4.80%,12.84%,1.12
