Symbol,Stock Price,Market Cap,Company Name,Analysts,PT Upside (%),Rev. Growth,Rev. Growth 5Y,Rev. Growth 3Y,Rev Gr. Next Y,Z-Score,ROA,ROA (5Y),ROIC,ROIC (5Y),Oper. Margin
AAPL,235.48,3483099216500,Apple Inc.,33,2.88%,2.61%,8.13%,1.51%,7.75%,9.81,27.90%,25.74%,58.75%,50.85%,31.76%
NVDA,130.8149,3207825099000,NVIDIA Corporation,41,29.46%,152.44%,62.43%,67.11%,52.55%,69.03,77.90%,25.20%,81.01%,25.80%,62.71%
MSFT,409.85,3058488051600,Microsoft Corporation,30,24.59%,15.04%,14.29%,12.29%,13.78%,9.77,18.10%,18.70%,26.33%,27.50%,44.96%
AMZN,230.62,2434397667000,"Amazon.com, Inc.",44,13.74%,10.99%,17.86%,10.74%,10.49%,6.11,10.30%,6.56%,14.23%,9.45%,10.75%
GOOG,185.49,2268873923945,Alphabet Inc.,41,14.73%,13.87%,16.68%,10.75%,11.02%,13.49,23.50%,19.04%,27.01%,22.10%,32.11%
GOOGL,183.63,2269129624269,Alphabet Inc.,41,15.80%,13.87%,16.68%,10.75%,11.02%,13.50,23.50%,19.04%,27.01%,22.10%,32.11%
META,724.615,1823899968988,"Meta Platforms, Inc.",48,-2.84%,21.94%,18.40%,11.73%,13.62%,13.96,25.30%,20.16%,26.43%,22.14%,42.18%
TSLA,343.1399,1058556732000,"Tesla, Inc.",35,-9.85%,0.95%,31.78%,21.98%,17.82%,14.87,6.10%,10.12%,6.93%,14.52%,7.24%
AVGO,233.99,1101717094400,Broadcom Inc.,26,-5.24%,43.99%,17.94%,23.39%,16.06%,,3.40%,10.06%,6.09%,14.35%,26.10%
BRK.A,709489,1019457634304,Berkshire Hathaway Inc.,2,0.78%,12.76%,11.85%,9.38%,0.92%,,9.70%,6.48%,14.64%,9.77%,30.21%
BRK.B,471.2,1019457568768,Berkshire Hathaway Inc.,2,5.73%,12.76%,11.85%,9.38%,0.92%,,9.70%,6.48%,14.64%,9.77%,30.21%
TSM,206.23,1077264971246,Taiwan Semiconductor Manufacturing Company Limited,4,12.60%,22.65%,20.53%,20.62%,18.79%,12.18,17.90%,18.48%,19.83%,21.13%,41.96%
WMT,103.37,823181473300,Walmart Inc.,32,-5.04%,5.48%,5.28%,5.61%,4.00%,6.27,7.70%,5.68%,14.44%,11.67%,4.27%
LLY,872,826294139560,Eli Lilly and Company,22,12.01%,27.41%,13.35%,13.76%,17.58%,9.43,12.20%,13.96%,18.45%,22.91%,24.84%
