Symbol,Company Name,Market Cap,IPO Date,PT Diff. (%),OpInc Growth 5Y,Rev. Growth 5Y,Rev Gr. Next Y,Rev Gr. Next 5Y,OpInc Growth 3Y,Rev. Growth 3Y,Analyst Count,FCF Growth 3Y,FCF Growth 5Y,Debt Growth (5Y),Debt Growth (3Y),Oper. Margin,EBITDA Margin,ROA,ROIC,ROA (5Y),ROIC (5Y),Current Ratio,Quick Ratio,Debt / EBITDA,Z-Score,Tax / Revenue,R&D / Rev,Debt Growth (YoY),FCF Growth,Rev. Growth,Sector,Industry
KO,The Coca-Cola Company,276129980000,1919-09-05,12.71%,-0.40%,5.19%,3.88%,3.93%,-4.51%,7.04%,15,-33.49%,-17.52%,1.72%,3.52%,20.61%,33.34%,10.30%,10.72%,10.06%,13.07%,1.06,0.78,2.99,4.02,5.05%,,15.17%,-66.10%,2.97%,Consumer Staples,Beverages - Non-Alcoholic
JNJ,Johnson & Johnson,374146555620,1944-09-24,13.02%,0.02%,-0.46%,2.83%,4.76%,-4.37%,-4.43%,14,-2.61%,1.03%,4.12%,1.76%,24.73%,30.88%,8.40%,16.37%,12.00%,18.00%,1.03,0.70,1.45,4.07,2.56%,20.27%,19.48%,31.82%,4.61%,Healthcare,Drug Manufacturers - General
TM,Toyota Motor Corporation,232171687706,1949-05-01,,15.08%,8.46%,3.22%,,15.36%,13.99%,1,-9.76%,-10.85%,14.08%,14.67%,10.75%,17.30%,4.80%,4.99%,4.28%,3.99%,1.23,1.02,4.57,1.78,3.86%,,8.56%,-52.45%,12.00%,Consumer Discretionary,Auto Manufacturers
SMFG,"Sumitomo Mitsui Financial Group, Inc.",92497502457,1949-05-01,,,,6.26%,,,11.69%,,-9.05%,,,25.83%,-30.21%,38.94%,0.30%,-1.34%,0.26%,-1.34%,,,33.04,,7.97%,,15.58%,,4.18%,Financials,Banks - Diversified
PHI,PLDT Inc.,4785726822,1953-09-17,,4.04%,13.66%,4.14%,,-1.09%,12.42%,,-18.11%,6.05%,10.04%,37.11%,18.24%,42.53%,4.30%,7.34%,3.86%,6.09%,0.36,0.22,3.19,0.70,4.31%,,44.75%,-26.96%,3.23%,Communication Services,Telecom Services
DIS,The Walt Disney Company,212368933800,1957-11-12,5.50%,-4.81%,5.59%,4.65%,5.24%,40.41%,10.66%,24,62.65%,37.68%,-0.50%,-5.57%,9.11%,14.25%,2.50%,4.17%,0.96%,2.01%,0.73,0.54,3.52,2.30,1.97%,,-1.33%,74.78%,2.77%,Communication Services,Entertainment
HMC,"Honda Motor Co., Ltd.",40215422788,1957-12-01,,15.82%,6.54%,1.28%,,15.24%,14.54%,,-67.66%,-47.05%,7.66%,10.65%,6.27%,10.04%,3.30%,4.18%,3.02%,3.17%,1.43,1.06,4.84,1.83,1.97%,4.38%,13.70%,-97.65%,17.28%,Consumer Discretionary,Auto Manufacturers
SONY,Sony Group Corporation,120884954334,1958-12-01,19.82%,8.07%,8.91%,1.59%,,12.72%,11.21%,3,39.97%,4.38%,21.15%,17.48%,10.27%,19.42%,3.30%,8.72%,3.14%,9.33%,0.66,0.43,1.72,1.11,2.63%,,-7.68%,760.75%,12.33%,Technology,Consumer Electronics
NMR,"Nomura Holdings, Inc.",17523280086,1961-10-01,,-0.63%,14.23%,-2.34%,,47.72%,0.56%,1,-24.41%,,5.03%,14.00%,17.70%,20.93%,0.30%,0.48%,0.34%,0.52%,,,101.61,,6.25%,,20.57%,,16.95%,Financials,Capital Markets
BDX,"Becton, Dickinson and Company",64230913240,1962-04-23,27.34%,6.38%,3.14%,9.15%,5.62%,2.13%,1.79%,7,-3.81%,5.31%,0.73%,4.52%,11.88%,23.88%,3.10%,4.43%,2.82%,4.29%,1.17,0.60,4.17,2.15,1.49%,5.90%,26.65%,45.30%,4.16%,Healthcare,Medical Instruments & Supplies
SWKS,"Skyworks Solutions, Inc.",14077845630,1968-03-13,16.99%,-7.71%,4.35%,10.97%,7.69%,-26.61%,-6.49%,21,13.71%,11.47%,,-20.85%,15.26%,26.77%,7.20%,7.94%,14.26%,15.37%,5.54,3.44,1.06,6.53,0.97%,15.12%,-20.31%,1.31%,-12.45%,Technology,Semiconductors
LXU,"LSB Industries, Inc.",620238726,1969-01-02,15.43%,,6.15%,4.33%,5.05%,-15.34%,4.57%,4,32.29%,,1.52%,0.94%,2.52%,17.61%,-1.30%,,-4.04%,5.88%,2.53,1.96,5.52,1.49,-0.05%,,-15.50%,-94.08%,-25.14%,Materials,Chemicals
IX,ORIX Corporation,24722792498,1970-04-01,,7.19%,4.37%,5.27%,,11.47%,5.28%,,-12.81%,5.49%,7.50%,8.79%,19.21%,37.20%,2.50%,4.14%,2.06%,3.55%,,,5.57,,5.06%,,3.39%,62.51%,7.50%,Financials,Financial Conglomerates
WMT,Walmart Inc.,738554410000,1970-10-01,-0.15%,5.52%,5.12%,4.10%,4.50%,3.42%,5.51%,32,-11.92%,-6.51%,-3.88%,0.23%,4.25%,5.43%,6.10%,14.42%,5.68%,11.67%,0.80,0.18,1.70,6.04,0.80%,,-5.39%,-36.28%,5.43%,Consumer Staples,Discount Stores
ADI,"Analog Devices, Inc.",108217560850,1972-04-03,13.41%,3.51%,9.49%,12.29%,12.79%,6.30%,8.81%,22,9.29%,9.56%,6.66%,3.85%,21.56%,44.59%,3.40%,4.37%,5.20%,6.30%,1.84,1.24,1.80,5.67,1.51%,15.78%,9.11%,-12.21%,-23.39%,Technology,Semiconductors
MLP,"Maui Land & Pineapple Company, Inc.",478520250,1972-04-03,,,8.55%,,,,1.85%,,,,21.53%,,-42.61%,-33.63%,-11.40%,-13.95%,-8.34%,-5.12%,2.86,2.66,,22.38,,,,,34.84%,Real Estate,Real Estate Services
CMCSA,Comcast Corporation,164860549000,1972-06-29,10.77%,2.25%,2.57%,-0.66%,2.03%,4.60%,2.66%,17,-6.20%,-2.24%,-0.90%,-0.33%,18.52%,30.92%,5.50%,9.18%,4.40%,7.39%,0.72,0.60,2.66,1.52,3.90%,,-1.11%,-12.07%,1.82%,Communication Services,Telecom Services
AMD,"Advanced Micro Devices, Inc.",222608961750,1972-09-27,42.72%,34.54%,32.17%,26.62%,17.08%,-23.07%,17.83%,31,-19.33%,,15.84%,56.67%,5.64%,19.78%,2.70%,2.84%,14.64%,20.07%,2.50,1.58,0.47,11.21,-1.38%,25.75%,-21.80%,17.70%,9.88%,Technology,Semiconductors
AU,AngloGold Ashanti plc,10504790856,1972-12-15,35.00%,,,8.05%,,-25.50%,-5.90%,4,-5.57%,,,-7.43%,12.11%,10.44%,3.70%,5.49%,5.38%,7.22%,2.50,1.87,4.62,2.00,3.84%,4.55%,5.90%,-11.36%,11.72%,Materials,Gold
LUMN,"Lumen Technologies, Inc.",7519742100,1972-12-15,-38.73%,,-8.79%,-5.05%,-2.37%,,-12.67%,8,-24.04%,-12.11%,-12.60%,-14.54%,-10.02%,15.05%,-6.40%,-6.95%,-7.34%,-8.28%,1.20,0.98,9.41,-0.28,-0.89%,,-6.79%,,-10.40%,Communication Services,Telecom Services
CNQ,Canadian Natural Resources Limited,70722507200,1976-05-17,59.62%,17.06%,11.57%,5.55%,-1.25%,10.92%,11.39%,2,9.63%,19.13%,-14.91%,-15.76%,26.97%,45.76%,10.00%,16.01%,8.30%,13.28%,0.84,0.48,0.60,3.13,4.99%,,-13.87%,40.43%,-1.01%,Energy,Oil & Gas Exploration & Production
CACI,CACI International Inc,10314270378,1979-04-02,16.45%,12.84%,8.70%,5.09%,5.86%,9.17%,8.99%,11,-9.14%,-4.87%,2.75%,2.25%,8.80%,11.25%,6.60%,9.12%,6.20%,8.90%,1.75,1.52,2.49,4.16,1.71%,,3.84%,61.35%,13.24%,Technology,Information Technology Services
ABEO,Abeona Therapeutics Inc.,277779690,1980-09-19,181.69%,,,6036.47%,144.16%,,,3,,,23.09%,55.34%,,,-72.20%,-88.19%,-69.06%,-132.00%,6.12,6.06,,,,,305.99%,,,Healthcare,Biotechnology
AAPL,Apple Inc.,3580026072000,1980-12-12,1.03%,14.02%,8.49%,8.06%,7.72%,4.19%,2.25%,33,5.39%,13.06%,-0.26%,-5.09%,31.51%,34.51%,27.00%,57.18%,25.74%,50.85%,0.87,0.75,0.79,9.01,7.61%,8.02%,-4.01%,9.26%,2.02%,Technology,Consumer Electronics
NKE,"NIKE, Inc.",117777908652,1980-12-12,23.12%,3.50%,4.66%,4.26%,5.39%,-6.75%,2.68%,34,5.26%,12.87%,12.20%,-1.76%,11.83%,14.06%,14.10%,18.92%,13.82%,19.38%,2.36,1.42,1.72,5.29,2.12%,,-0.42%,61.66%,-2.83%,Consumer Discretionary,Footwear & Accessories
HD,"The Home Depot, Inc.",426748744800,1981-09-22,-1.51%,6.01%,6.86%,3.56%,3.80%,-1.71%,1.53%,28,11.14%,8.03%,12.58%,11.87%,13.70%,16.01%,16.70%,23.29%,21.32%,34.04%,1.13,0.25,2.56,6.43,2.97%,,28.67%,-6.37%,0.57%,Consumer Discretionary,Home Improvement Retail
BRC,Brady Corporation,3583131497,1984-06-28,-13.49%,8.32%,3.73%,4.25%,,12.75%,5.26%,1,-0.19%,-1.02%,8.62%,13.91%,17.50%,20.45%,13.20%,15.23%,11.44%,14.32%,1.85,1.21,0.56,6.73,3.64%,5.12%,98.77%,-35.28%,3.37%,Industrials,Security & Protection Services
UNH,UnitedHealth Group Incorporated,566359798854,1984-10-17,-0.82%,11.03%,10.45%,7.65%,,13.64%,12.14%,20,-16.99%,0.66%,11.68%,18.43%,8.18%,6.88%,5.00%,13.83%,8.20%,16.13%,0.91,0.83,2.88,3.73,1.27%,,23.10%,-50.46%,9.42%,Healthcare,Healthcare Plans
IMNN,"Imunon, Inc.",12224090,1985-03-05,2331.79%,,,,,,,2,,,-35.48%,-42.66%,,,-129.00%,-221.55%,-49.68%,-79.54%,2.30,,,,,,-27.10%,,,Healthcare,Biotechnology
