"Date";"$LRCX";"$NVDA";"$MRK";"$AMAT";"$ASML";"$PDD";"$UBER";"$TSM";"$NVO";"$MSFT"
"1992-06-29";;;;;;;;;;896000000
"1992-12-30";;;;;;;;;;
"1993-03-30";;;;;;;;;;
"1993-06-29";;;;;;;;;;1074000000
"1993-09-29";;;;;;;;;;
"1993-12-30";;;;;;;;;;1332000000
"1994-03-30";;;;;;;;;;1489000000
"1994-06-29";;;;;;;;;;1593000000
"1994-09-29";;;;;;;;;;1667000000
"1994-10-26";;;;111024000;;;;;;
"1994-12-30";;;4139900000;;;;;;;1763000000
"1995-03-30";;;;;;;;;;1983000000
"1995-06-29";19096000;;;;;;;;;1990000000
"1995-09-29";;;;;;;;;;2100000000
"1995-10-26";;;;142699000;;;;;;
"1995-12-30";;-6133000;2944200000;;;;;;;3056000000
"1996-01-27";;;;;;;;;;
"1996-03-30";;;;;;;;;;3318000000
"1996-04-27";;;;;;;;;;
"1996-06-29";27841000;;;;;;;;;3719000000
"1996-07-27";;;;;;;;;;
"1996-09-29";;;;;;;;;;4002000000
"1996-10-26";;;;692029000;;;;;;
"1996-12-30";88308000;-279000;5427700000;;;;;;;3819000000
"1997-01-25";;;;913229000;;;;;;
"1997-03-30";72984000;;5737100000;;;;;;;4532000000
"1997-04-26";;;;1030358000;;;;;;
"1997-06-29";80978000;;5849500000;;;;;;;4689000000
"1997-07-26";;;;915910000;;;;;;
"1997-09-29";76889000;;6255800000;;;;;;;5586000000
"1997-10-25";;;;701712000;;;;;;
"1997-12-30";-2459000;-1181000;6316600000;;;;;;;6032000000
"1998-01-24";;;;418855000;;;;;;
"1998-03-30";-45387000;;6348400000;;;;;;;6516000000
"1998-04-01";;;;;;;;;;
"1998-04-25";;;;368132000;;;;;;
"1998-06-29";51245000;;6187400000;;;;;;;8433000000
"1998-07-25";;;;673694000;;;;;;
"1998-09-29";-17199000;;6020400000;;;;;;;9337000000
"1998-10-24";;-2949000;;868409000;;;;;;
"1998-12-30";-24563000;;5328300000;;;;;;;9824000000
"1999-01-30";;-1867000;;917394000;;;;;;
"1999-03-30";19953000;;5771100000;;;;;;;10406000000
"1999-05-01";;83000;;974268000;;;;;;
"1999-06-29";-37215000;;5989900000;;;;;;;12146000000
"1999-07-31";;-3130000;;760634000;;;;;;
"1999-09-25";15890000;;;;;;;;;
"1999-09-29";;;6054200000;;;;;;;12419000000
"1999-10-30";;14638000;;1080642000;;;;;;
"1999-12-25";69725000;;;;;;;;;
"1999-12-30";;;6130700000;;;;;;;13195000000
"2000-01-29";;15871000;;1105218000;;;;;;
"2000-03-25";56632000;;;;;;;;;
"2000-03-30";;;6247000000;;;;;;;13465000000
"2000-04-29";;23137000;;1386482000;;;;;;
"2000-06-24";119850000;;;;;;;;;
"2000-06-29";;;6537100000;;;;;;;11426000000
"2000-07-29";;51459000;;1534063000;;;;;;
"2000-09-23";129258000;;;;;;;;;
"2000-09-29";;;6667000000;;;;;;;11529000000
"2000-10-28";;57677000;;1651815000;;;;;;
"2000-12-23";189735000;;;;;;;;;
"2000-12-30";;;7687300000;;250744000;;;94786200000;5258000000;11521000000
"2001-01-27";;267909000;;1470717000;;;;;;
"2001-03-24";254463000;;;;;;;;;
"2001-03-30";;;7776600000;;;;;;;12531000000
"2001-04-28";;292961000;;1932886000;;;;;;
"2001-06-23";261287000;;;;;;;;;
"2001-06-29";;;7408500000;;;;;;;13422000000
"2001-07-28";;327010000;;1844055000;;;;;;
"2001-09-22";245311000;;;;;;;;;
"2001-09-29";;;8542700000;;;;;;;13851000000
"2001-10-27";;328792000;;1580304000;;;;;;
"2001-12-29";174502000;;;;;;;;;
"2001-12-30";;;8343300000;;-199615000;;;75817700000;4320000000;14497000000
"2002-01-26";;160806000;;1685738000;;;;;;
"2002-03-30";69485000;;8140700000;;;;;;;14654000000
"2002-04-27";;173903000;;867505000;;;;;;
"2002-06-29";21797000;;8618700000;;;;;;;14509000000
"2002-07-27";;116455000;;733274000;;;;;;
"2002-09-27";;;;;;;;;;
"2002-09-28";26205000;;;;;;;;;
"2002-09-29";;;8342600000;;;;;;;17292000000
"2002-10-26";;188256000;;551515000;;;;;;
"2002-12-28";13258000;;;;;;;;;
"2002-12-30";;;8710600000;;-61127000;;;98507100000;4867000000;16494000000
"2003-01-25";;265032000;;572944000;;;;;;
"2003-03-29";78121000;;;;173944000;;;;;
"2003-03-30";;;8473400000;;;;;;;16542000000
"2003-04-26";;256685000;;877026000;;;;;;
"2003-06-28";69242000;;;;;;;;;
"2003-06-29";;;8323600000;;429187000;;;95999963000;;15797000000
"2003-07-26";;274831000;;823491000;;;;;;
"2003-09-27";66506000;;;;543540000;;;;;
"2003-09-29";;;8127700000;;;;;105324120000;;13049000000
"2003-10-25";;174952000;;855075000;;;;;;
"2003-12-27";89834000;;;;;;;;;
"2003-12-30";;;8705700000;;545395000;;;116037100000;6149000000;14856000000
"2004-01-24";;49678000;;;;;;;;
"2004-01-31";;;;949831000;;;;;;
"2004-03-27";106443000;;;;597270000;;;;;
"2004-03-30";;;8786300000;;;;;128609774000;;15657000000
"2004-04-24";;70736000;;;;;;;;
"2004-05-01";;;;845616000;;;;;;
"2004-06-26";157149000;;;;469041000;;;;;
"2004-06-29";;;9626500000;;;;;141573840000;;14626000000
"2004-07-24";;23031000;;;;;;;;
"2004-07-31";;;;1399495000;;;;;;
"2004-09-25";198720000;;;;587019000;;;;;
"2004-09-29";;;9538600000;;;;;145798489000;;15209000000
"2004-10-23";;32080000;;;;;;;;
"2004-10-30";;;;1627271000;;;;;;
"2004-12-25";313730000;;;;;;;;;
"2004-12-30";;;8799100000;;251267000;;;153523000000;7589000000;14254000000
"2005-01-29";;132200000;;1646962000;;;;;;
"2005-03-26";374450000;;;;244416000;;;;;
"2005-03-30";;;8324500000;;;;;156841949000;;14287000000
"2005-04-30";;160293000;;1893342000;;;;;;
"2005-06-25";425930000;;;;386009000;;;;;
"2005-06-29";;;7738900000;;;;;151977085000;;16605000000
"2005-07-30";;236531000;;1556436000;;;;;;
"2005-09-24";432929000;;;;453967000;;;;;
"2005-09-29";;;7711500000;;;;;148335006000;;16927000000
"2005-10-29";;320196000;;1286721000;;;;;;
"2005-12-24";393969000;;;;;;;;;
"2005-12-30";;;7608500000;;711493000;;;157225200000;8712000000;15539000000
"2006-01-28";;446408000;;1468917000;;;;;;
"2006-03-25";402305000;;;;;;;;;
"2006-03-30";;;7575900000;;;;;168952826000;;15099000000
"2006-04-01";;;;;388595000;;;;;
"2006-04-29";;406365000;;1514012000;;;;;;
"2006-06-24";367382000;;;;;;;;;
"2006-06-29";;;8000400000;;;;;189288473000;;14404000000
"2006-07-01";;;;;493799000;;;;;
"2006-07-29";;376880000;;1543865000;;;;;;
"2006-09-23";536628000;;;;;;;;;
"2006-09-29";;;7253900000;;;;;201664372000;;14136000000
"2006-09-30";;;;;322677000;;;;;
"2006-10-28";;582099000;;1977118000;;;;;;
"2006-12-23";587261000;;;;;;;;;
"2006-12-30";;;6765200000;;492280000;;;204997100000;7738000000;13947000000
"2007-01-27";;572681000;;1939135000;;;;;;
"2007-03-24";629027000;;;;;;;;;
"2007-03-30";;;4129500000;;;;;193109477000;;16675000000
"2007-03-31";;;;;883116000;;;;;
"2007-04-28";;818343000;;1940526000;;;;;;
"2007-06-23";823559000;;;;;;;;;
"2007-06-29";;;4882700000;;;;;178487899000;;17796000000
"2007-06-30";;;;;824849000;;;;;
"2007-07-28";;1122160000;;2202510000;;;;;;
"2007-09-22";829379000;;;;;;;;;
"2007-09-29";;;6427500000;;996986000;;;182807117000;;19613000000
"2007-10-27";;1233690000;;2209296000;;;;;;
"2007-12-22";688781000;;;;;;;;;
"2007-12-30";;;6999200000;;701011000;;;183766700000;9987000000;22138000000
"2008-01-26";;1270196000;;2217830000;;;;;;
"2008-03-29";683365000;;;;793287000;;;;;
"2008-03-30";;;10856400000;;;;;205201538000;10506000000;21929000000
"2008-04-26";;1120243000;;2578698000;;;;;;
"2008-06-28";590319000;;;;746160000;;;;;
"2008-06-29";;;9282600000;;;;;213317292000;11984000000;21612000000
"2008-07-26";;879521000;;2261549000;;;;;;
"2008-09-27";411004000;;;;592683000;;;;;
"2008-09-29";;;7908700000;;;;;210629951000;12157000000;19104000000
"2008-10-25";;521676000;;1710468000;;;;;;
"2008-12-27";350575000;;;;;;;;;
"2008-12-30";;;6572000000;;282979000;;;221493600000;12863000000;20319000000
"2009-01-24";;249360000;;1135520000;;;;;;
"2009-03-28";180438000;;;;192861000;;;;;
"2009-03-30";;;4756300000;;;;;190986536000;13941000000;19281000000
"2009-04-25";;246243000;;345818000;;;;;;
"2009-06-27";-78129000;;;;30450000;;;;;
"2009-06-29";;;4124700000;;;;;169035038000;13633000000;19037000000
"2009-07-25";;300403000;;219113000;;;;;;
"2009-09-26";-118557000;;;;-55403000;;;;;
"2009-09-29";;;2160600000;;;;;168589966000;14999000000;21774000000
"2009-10-24";;398717000;;333000000;;;;;;
"2009-12-26";-6258000;;;;;;;;;
"2009-12-30";;;3392000000;;270000000;;;159966400000;15378000000;20961000000
"2010-01-30";;487807000;;890217000;;;;;;
"2010-03-27";127160000;;;;228500000;;;;;
"2010-03-30";;;4045400000;;;;;179212336000;15461000000;22310000000
"2010-05-01";;340282000;;1332917000;;;;;;
"2010-06-26";350713000;;;;359300000;;;;;
"2010-06-29";;;6621400000;;;;;205038704000;17078000000;24073000000
"2010-07-31";;239509000;;1438204000;;;;;;
"2010-09-25";603753000;;;;827800000;;;;;
"2010-09-29";;;9525500000;;;;;220911223000;18357000000;26160000000
"2010-10-30";;310369000;;1723000000;;;;;;
"2010-12-25";716026000;;;;;;;;;
"2010-12-30";;;10822000000;;940048000;;;229475800000;19679000000;25377000000
"2011-01-29";;675797000;;1776000000;;;;;;
"2011-03-26";848353000;;;;1999548000;;;;;
"2011-03-30";;;11177000000;;;;;237346838000;20556000000;26656000000
"2011-04-30";;853394000;;1953000000;;;;;;
"2011-06-25";881028000;;;;2337548000;;;;;
"2011-06-29";;;10704000000;;;;;249032383000;20862000000;26994000000
"2011-07-30";;901071000;;2253000000;;;;;;
"2011-09-24";712184000;;;;2287748000;;;;;
"2011-09-29";;;12689000000;;;;;245314326000;22298000000;27293000000
"2011-10-29";;933311000;;2429000000;;;;;;
"2011-12-24";695617000;;;;;;;;;
"2011-12-30";;;12383000000;;2070440000;;;247587000000;21374000000;28969000000
"2012-01-28";;909156000;;2185000000;;;;;;
"2012-03-24";600421000;;;;;;;;;
"2012-03-30";;;12816000000;;;;;249783327000;21853000000;29891000000
"2012-03-31";;;;;1365440000;;;;;
"2012-04-28";;727748000;;2084000000;;;;;;
"2012-06-23";499028000;;;;;;;;;
"2012-06-29";;;12884000000;;908540000;;;257839212000;24473000000;31626000000
"2012-07-28";;846613000;;2141000000;;;;;;
"2012-09-22";661390000;;;;;;;;;
"2012-09-29";;;11446000000;;1044140000;;;273001203000;24681000000;31617000000
"2012-10-27";;783681000;;1851000000;;;;;;
"2012-12-22";685600000;;;;;;;;;
"2012-12-30";;;10022000000;;703478000;;;284963100000;22214000000;30535000000
"2013-01-26";;824172000;;1686000000;;;;;;
"2013-03-30";641660000;;10209000000;;251578000;;;302431138000;23697000000;30607000000
"2013-04-27";;1009030000;;1307000000;;;;;;
"2013-06-29";719933000;;9627000000;;658778000;;;309002695000;23829000000;28833000000
"2013-07-27";;904613000;;1015000000;;;;;;
"2013-09-28";522596000;;;;276878000;;;;;
"2013-09-29";;;10437000000;;;;;329408939000;22214000000;28554000000
"2013-10-26";;885443000;;623000000;;;;;;
"2013-12-28";458393000;;;;;;;;;
"2013-12-30";;;11654000000;;1054173000;;;347383500000;25942000000;28187000000
"2014-01-25";;835000000;;979000000;;;;;;
"2014-03-29";646146000;;;;1313873000;;;;;
"2014-03-30";;;11674000000;;;;;368674769000;22941000000;28620000000
"2014-04-26";;810350000;;1192000000;;;;;;
"2014-06-28";717049000;;;;1179540000;;;;;
"2014-06-29";;;11651000000;;;;;375184976000;23783000000;32502000000
"2014-07-26";;809881000;;1412000000;;;;;;
"2014-09-27";806285000;;;;1286340000;;;;;
"2014-09-29";;;12050000000;;;;;370627949000;29633000000;32651000000
"2014-10-25";;863566000;;1800000000;;;;;;
"2014-12-27";838501000;;;;;;;;;
"2014-12-30";;;7989000000;;1025206000;;;421523700000;31692000000;32578000000
"2015-01-24";;906000000;;1488000000;;;;;;
"2015-03-28";739328000;;;;1307573000;;;;;
"2015-03-30";;;7912000000;;;;;482663420000;31729000000;32080000000
"2015-04-25";;1001000000;;1349000000;;;;;;
"2015-06-27";785503000;;;;1441715000;;;;;
"2015-06-29";;;8294000000;;;;;511981709000;35578000000;29668000000
"2015-07-25";;1068000000;;1099000000;;;;;;
"2015-09-26";1093339000;;;;1647315000;;;;;
"2015-09-29";;;7257000000;;;;;538876068000;35469000000;29666000000
"2015-10-24";;1107000000;;1163000000;;;;;;
"2015-12-26";1226645000;;;;;;;;;
"2015-12-30";;;12538000000;;2025500000;;;529879400000;38287000000;30944000000
"2016-01-30";;1175000000;;1310000000;;;;;;
"2016-03-26";1218519000;;;;;;;;;
"2016-03-30";;;12427000000;;;;;495407592000;41656000000;31710000000
"2016-04-02";;;;;1879809000;;;;;
"2016-04-30";;1248000000;;1493000000;;;;;;
"2016-06-25";1350277000;;;;;;;;;
"2016-06-29";;;11330000000;;;;;491016831000;44179000000;33325000000
"2016-07-02";;;;;2080505000;;;;;
"2016-07-30";;1285000000;;2140000000;;;;;;
"2016-09-24";1374504000;;;;;;;;;
"2016-09-29";;;10990000000;;;;;499286951000;47280000000;35998000000
"2016-10-01";;;;;1658005000;;;;;
"2016-10-29";;1462000000;;2566000000;;;;;;
"2016-12-24";1484057000;;;;;;;;;
"2016-12-30";;;10376000000;;1665900000;879777000;-2913000000;539834600000;48314000000;36673000000
"2017-01-28";;1672000000;;3151000000;;;;;;
"2017-03-25";1723834000;;;;;;;;;
"2017-03-30";;;8489000000;;;;;579313791000;52937000000;36966000000
"2017-04-01";;;;;1704005000;;;;;
"2017-04-29";;1635000000;;3581000000;;;;;;
"2017-06-24";2029282000;;;;;;;;;
"2017-06-29";;;10206000000;;;;;576037780000;48557000000;39507000000
"2017-07-01";;;;;1742600000;;;;;
"2017-07-29";;2140000000;;3977000000;;;;;;
"2017-09-23";2414364000;;;;;;;;;
"2017-09-29";;;6064000000;;;;;566411655000;46289000000;40398000000
"2017-09-30";;;;;2145300000;;;;;
"2017-10-28";;2865000000;;3789000000;;;;;;
"2017-12-23";2038970000;;;;;;;;;
"2017-12-30";;;6451000000;;1818300000;9686328000;-1418000000;585318200000;41168000000;41980000000
"2018-01-27";;3502000000;;4463000000;;;;;;
"2018-03-24";2666661000;;;;;;;;;
"2018-03-30";;;7320000000;;;8612821000;;585036074000;38885000000;43471000000
"2018-03-31";;;;;2361900000;;;;;
"2018-04-28";;4665000000;;4163000000;;;;;;
"2018-06-23";2655747000;;;;;;;;;
"2018-06-29";;;7385000000;;;8416897000;;611409054000;44538000000;43884000000
"2018-06-30";;;;;2579100000;;;;;
"2018-07-28";;4873000000;;3419000000;;;;;;
"2018-09-22";2517727000;;;;;;;;;
"2018-09-29";;;11349000000;;2665800000;10730429000;;588708102000;43236000000;45101000000
"2018-10-27";;4203000000;;3787000000;;;;;;
"2018-12-22";3131442000;;;;;;;;;
"2018-12-30";;;10922000000;;3072700000;7767927000;-1541000000;573954300000;44616000000;46126000000
"2019-01-26";;3743000000;;3155000000;;;;;;
"2019-03-30";3013884000;;11103000000;;2589900000;6908203000;-1966000000;565898660000;44691000000;47495000000
"2019-04-27";;3018000000;;3344000000;;;;;;
"2019-06-29";3176013000;;10805000000;;1915700000;9968541000;-2735000000;553886328000;43960000000;52185000000
"2019-07-27";;3041000000;;3498000000;;;;;;
"2019-09-28";2919774000;;;;1498400000;;;;;
"2019-09-29";;;12238000000;;;10955360000;-3203000000;601556867000;49029000000;52346000000
"2019-10-26";;4194000000;;3247000000;;;;;;
"2019-12-28";2585283000;;;;;;;;;
"2019-12-30";;;13440000000;;3276400000;14820976000;-4321000000;615138700000;46782000000;54126000000
"2020-01-25";;4761000000;;3400000000;;;;;;
"2020-03-28";2193890000;;;;3315300000;;;;;
"2020-03-30";;;12811000000;;;15797157000;-4062000000;665497864000;46904000000;58110000000
"2020-04-25";;4950000000;;3235000000;;;;;;
"2020-06-27";2126451000;;;;3784400000;;;;;
"2020-06-29";;;13094000000;;;17144511000;-4211000000;718071794000;56126000000;60675000000
"2020-07-25";;5581000000;;3315000000;;;;;;
"2020-09-26";2304915000;;;;3906100000;;;;;
"2020-09-29";;;11041000000;;;22848071000;-3739000000;766490001000;46782000000;66192000000
"2020-10-24";;5220000000;;3804000000;;;;;;
"2020-12-26";2341624000;;;;;;;;;
"2020-12-30";;;10253000000;;4627600000;28196627000;-2745000000;822666200000;51951000000;68028000000
"2021-01-30";;5822000000;;4238000000;;;;;;
"2021-03-27";2965276000;;;;;;;;;
"2021-03-30";;;11337000000;;;25039150000;-2893000000;847452464000;53194000000;72703000000
"2021-04-03";;;;;4652300000;;;;;
"2021-05-01";;6787000000;;4790000000;;;;;;
"2021-06-26";3588163000;;;;;;;;;
"2021-06-29";;;10460000000;;;26915029000;-2163000000;864556998000;54188000000;76740000000
"2021-07-03";;;;;7841600000;;;;;
"2021-07-31";;7902000000;;5609000000;;;;;;
"2021-09-25";3403176000;;;;;;;;;
"2021-09-29";;;13084000000;;;27329805000;-1143000000;993091977000;62113000000;81945000000
"2021-10-02";;;;;9452100000;;;;;
"2021-10-30";;8142000000;;5442000000;;;;;;
"2021-12-25";4499045000;;;;;;;;;
"2021-12-30";;;14109000000;;10845800000;28783011000;-445000000;1112160700000;55000000000;83909000000
"2022-01-29";;9108000000;;6679000000;;;;;;
"2022-03-26";4091675000;;;;;;;;;
"2022-03-30";;;17079000000;;;23439462000;181000000;1256514682000;67331000000;87116000000
"2022-04-02";;;;;11554300000;;;;;
"2022-04-30";;8965000000;;5907000000;;;;;;
"2022-06-25";3099674000;;;;;;;;;
"2022-06-29";;;18891000000;;;35442118000;961000000;1407924619000;66037000000;89035000000
"2022-07-02";;;;;10185400000;;;;;
"2022-07-30";;7553000000;;5690000000;;;;;;
"2022-09-24";3831738000;;;;;;;;;
"2022-09-29";;;19696000000;;;38357373000;779000000;1501916579000;61238000000;87693000000
"2022-10-01";;;;;9553300000;;;;;
"2022-10-29";;6426000000;;5399000000;;;;;;
"2022-12-24";3531419000;;;;;;;;;
"2022-12-30";;;19095000000;;8486800000;48507860000;642000000;1610599200000;78887000000;84386000000
"2023-01-28";;5641000000;;5011000000;;;;;;
"2023-03-25";4500147000;;;;;;;;;
"2023-03-30";;;15673000000;;;58913978000;1233000000;1623674257000;85115000000;83441000000
"2023-04-01";;;;;9806500000;;;;;
"2023-04-29";;6821000000;;6888000000;;;;;;
"2023-06-24";5178938000;;;;;;;;;
"2023-06-29";;;15075000000;;;62936088000;1984000000;1452072807000;89731000000;87582000000
"2023-07-01";;;;;7638300000;;;;;
"2023-07-29";;11899000000;;8002000000;;;;;;
"2023-09-23";4940513000;;;;;;;;;
"2023-09-29";;;17190000000;;;83822122000;2518000000;1334019916000;92656000000;94967000000
"2023-09-30";;;;;7596900000;;;;;
"2023-10-28";;18839000000;;8700000000;;;;;;
"2023-12-23";5254166000;;;;;;;;;
"2023-12-30";;;13006000000;;5443400000;94162531000;3585000000;1241967300000;108908000000;102647000000
"2024-01-27";;28090000000;;8755000000;;;;;;
"2024-03-30";4912564000;;14757000000;;4457900000;113891688000;4395000000;1293033663000;93408000000;110123000000
"2024-04-27";;40524000000;;7855000000;;;;;;
"2024-06-29";4652269000;;16690000000;;4996600000;134288347000;5025000000;1503453894000;115334000000;118548000000
"2024-07-27";;48664000000;;7657000000;;;;;;
"2024-09-28";5269577000;;;;4818400000;;;;;
"2024-09-29";;;;;;;6210000000;;;122145000000
