"Date","$LRCX","$NVDA","$MRK","$AMAT","$ASML","$PDD","$UBER","$TSM","$NVO","$MSFT"
"1994-10-24",,,,,,,,3732002636.7194824,,
"1994-10-25",,,,,,,,3730571125.8060136,,
"1994-10-26",,,,,,,,3704413125.024498,,
"1994-10-27",,,,,,,,3635912142.6415267,,
"1994-10-28",,,,,,,,3708677530.7956753,,
"1994-10-31",,,,,,,,3710101254.5092764,,
"1994-11-01",,,,,,,,3691017841.336549,,
"1994-11-02",,,,,,,,3712951891.325016,,
"1994-11-03",,,,,,,,3688183020.2371197,,
"1994-11-04",,,,,,,,3686767194.352112,,
"1994-11-07",,,,,,,,3685352424.9102416,,
"1994-11-08",,,,,,,,3683938807.951794,,
"1994-12-06",,,,,,,,3787514826.7391686,,
"1994-12-07",,,,,,,,3790395094.503293,,
"1994-12-08",,,,,,,,3739904662.970405,,
"1994-12-09",,,,,,,,3711180643.185125,,
"1994-12-12",,,,,,,,3658143022.4897757,,
"1994-12-13",,,,,,,,3614864896.9084764,,
"1994-12-14",,,,,,,,3589121517.9604893,,
"1994-12-15",,,,,,,,3597290940.8091717,,
"1994-12-16",,,,,,,,3567464460.4189186,,
"1994-12-19",,,,,,,,3631012639.440879,,
"1994-12-20",,,,,,,,3610761779.4528027,,
"1994-12-21",,,,,,,,3591840518.236314,,
"1994-12-22",,,,,,,,3612128467.325409,,
"1994-12-23",,,,,,,,3566114240.3593807,,
"1994-12-26",,,,,,,,3566114240.3593807,,
"1994-12-27",,,,,,,,3562069421.6184683,,
"1994-12-28",,,,,,,,3585050603.513902,,
"1994-12-29",,,,,,,,3593201535.567656,,
"1994-12-30",,,,,,,,3606869172.5822434,,
"1995-01-02",,,,,,,,3606869172.5822434,,
"1995-01-03",,,,,,,,3615119670.4548445,,
"1995-01-04",,,,,,,,3613741963.9957714,,
"1995-01-05",,,,,,,,3575587733.275892,,
"1995-01-06",,,,,,,,3561982213.8855047,,
"1995-01-09",,,,,,,,3480672616.5270047,,
"1995-01-10",,,,,,,,3464190470.6553116,,
"1995-01-11",,,,,,,,3451331654.9175496,,
"1995-01-12",,,,,,,,3420600189.7599483,,
"1995-01-13",,,,,,,,3371812036.1283126,,
"1995-01-16",,,,,,,,3175507821.6252713,,
"1995-01-17",,,,,,,,3163960311.3585987,,
"1995-01-18",,,,,,,,3201034604.157229,,
"1995-01-19",,,,,,,,3351263758.4689555,,
"1995-01-20",,,,,,,,3271615338.8936,,
"1995-01-23",,,,,,,,3234473298.9022326,,
"1995-01-24",,,,,,,,3215035731.5102205,,
"1995-01-25",,,,,,,,3308813844.44832,,
"1995-01-26",,,,,,,,3262536550.004576,,
"1995-01-27",,,,,,,,3260054651.4555073,,
"1995-01-30",,,,,,,,3257576438.3003745,,
"1995-01-31",,,,,,,,3257576438.3003745,,
"1995-02-01",,,,,,,,3257576438.3003745,,
"1995-02-02",,,,,,,,3260054651.4555073,,
"1995-02-03",,,,,,,,3258815073.490344,,
"1995-02-06",,,,,,,,3421901307.045599,,
"1995-02-07",,,,,,,,3410340949.4287353,,
"1995-02-08",,,,,,,,3384645023.3672004,,
"1995-02-09",,,,,,,,3398780426.920275,,
"1995-02-10",,,,,,,,3428246064.5718393,,
"1995-02-13",,,,,,,,3434570978.2867723,,
"1995-02-14",,,,,,,,3421748286.785449,,
"1995-02-15",,,,,,,,3502395365.7322063,,
"1995-02-16",,,,,,,,3595926794.26638,,
"1995-02-17",,,,,,,,3640647688.9770117,,
"1995-02-20",,,,,,,,3525437364.8236766,,
"1995-02-21",,,,,,,,3597290940.8091717,,
"1995-02-22",,,,,,,,3643409903.620799,,
"1995-02-23",,,,,,,,3620350257.7233315,,
"1995-02-24",,,,,,,,3688130070.708923,,
"1995-02-27",,,,,,,,3600022363.1062055,,
"1995-02-28",,,,,,,,3574231294.9117045,,
"1995-03-01",,,,,,,,4372775722.749418,,
"1995-03-02",,,,,,,,4463105027.411961,,
"1995-03-03",,,,,,,,4527369585.6961565,,
"1995-03-06",,,,,,,,4631968446.97246,,
"1995-03-07",,,,,,,,4724644401.659283,,
"1995-03-08",,,,,,,,4706483854.3298855,,
"1995-03-09",,,,,,,,4749997102.1167,,
"1995-03-10",,,,,,,,4776210020.042703,,
"1995-03-13",,,,,,,,4863901226.038287,,
"1995-03-14",,,,,,,,4806061021.2619,,
"1995-03-15",,,,,,,,4897490999.460655,,
"1995-03-16",,,,,,,,4905008231.416453,,
