"Date";"$LRCX";"$NVDA";"$MRK";"$AMAT";"$ASML";"$PDD";"$UBER";"$TSM";"$NVO";"$MSFT"
"1992-06-29";;;;;;;;;;
"1992-12-30";;;;;;;;;;
"1993-03-30";;;;;;;;;;
"1993-06-29";;;;;;;;;;0
"1993-09-29";;;;;;;;;;
"1993-12-30";;;;;;;;;;0
"1994-03-30";;;;;;;;;;0
"1994-06-29";;;;;;;;;;0
"1994-09-29";;;;;;;;;;0
"1994-10-26";;;;;;;;;;
"1994-12-30";;;;;;;;;;0
"1995-03-30";;;;;;;;;;0
"1995-06-29";;;;;;;;;;0
"1995-09-29";;;;;;;;;;0
"1995-10-26";;;;362619000;;;;;;
"1995-12-30";;;1795900000;;;;;;;0
"1996-01-27";;;;;;;;;;
"1996-03-30";;;;;;;;;;0
"1996-04-27";;;;;;;;;;
"1996-06-29";90822000;;;;;;;;;0
"1996-07-27";;;;;;;;;;
"1996-09-29";;;;;;;;;;0
"1996-10-26";;;;375647000;;;;;;
"1996-12-30";86025000;1339000;1762000000;;;;;;;0
"1997-01-25";;;;277049000;;;;;;
"1997-03-30";86137000;;1709800000;;;;;;;0
"1997-04-26";;;;255359000;;;;;;
"1997-06-29";102719000;;2223600000;;;;;;;0
"1997-07-26";;;;259777000;;;;;;
"1997-09-29";373645000;;2276400000;;;;;;;0
"1997-10-25";;;;689596000;;;;;;
"1997-12-30";364898000;3325000;2249000000;;;;;;;0
"1998-01-24";;;;680178000;;;;;;
"1998-03-30";358790000;;2502800000;;;;;;;0
"1998-04-01";;;;;;;;;;
"1998-04-25";;;;657482000;;;;;;
"1998-06-29";351538000;;2894800000;;;;;;;0
"1998-07-25";;;;618409000;;;;;;
"1998-09-29";348508000;;3593900000;;;;;;;0
"1998-10-24";;8875000;;624583000;;;;;;
"1998-12-30";349411000;;3845000000;;;;;;;0
"1999-01-30";;8381000;;624554000;;;;;;
"1999-03-30";345035000;;3848100000;;;;;;;0
"1999-05-01";;3156000;;629176000;;;;;;
"1999-06-29";347066000;;3825200000;;;;;;;0
"1999-07-31";;2708000;;619157000;;;;;;
"1999-09-25";349331000;;;;;;;;;
"1999-09-29";;;4814400000;;;;;;;0
"1999-10-30";;3185000;;626630000;;;;;;
"1999-12-25";334258000;;;;;;;;;
"1999-12-30";;;6002900000;;;;;;;0
"2000-01-29";;3248000;;622185000;;;;;;
"2000-03-25";330701000;;;;;;;;;
"2000-03-30";;;5799000000;;;;;;;0
"2000-04-29";;2247000;;617928000;;;;;;
"2000-06-24";329289000;;;;;;;;;
"2000-06-29";;;7223400000;;;;;;;0
"2000-07-29";;1776000;;656257000;;;;;;
"2000-09-23";329987000;;;;;;;;;
"2000-09-29";;;6612100000;;;;;;;0
"2000-10-28";;301329000;;679423000;;;;;;
"2000-12-23";335321000;;;;;;;;;
"2000-12-30";;;6920000000;;;;;;;0
