Symbol,Price Target Upside (%),Analyst Rating,Rev Growth Next Year,EPS Growth Next Year,Revenue Growth Next 5Y,EPS Growth Next 5Y,Top Analyst Price Target Upside (%),Top Analyst Rating,EPS Growth This Quarter,EPS Growth This Year,EPS Growth Next Quarter,Price Target,Stock Price,Analyst Count,Top Analyst Count,Top Analyst Price Target,Rev Growth Next Quarter,Rev Growth This Year,Rev Growth This Quarter
VRTX,1.93%,Buy,8.95%,11297.18%,9.91%,12.79%,-2.38%,Hold,6.41%,-98.80%,11.22%,509.52,499.88,28,3,488.00,10.82%,11.09%,11.90%
C,14.34%,Buy,2.18%,23.21%,,11.69%,14.18%,Buy,,46.93%,24.93%,72.80,63.67,15,10,72.70,,,
PANW,4.54%,Buy,15.20%,14.73%,17.83%,16.87%,3.20%,Buy,126.34%,-12.13%,169.66%,382.92,366.29,41,25,378.00,15.12%,15.99%,12.89%
BUD,25.79%,Buy,3.60%,12.49%,4.82%,17.50%,,,-10.15%,30.31%,56.23%,74.00,58.83,6,,,6.04%,3.10%,6.72%
ADP,-0.44%,Hold,5.35%,8.58%,5.48%,8.29%,,,11.92%,11.01%,5.39%,289.91,291.18,12,,,6.21%,6.43%,6.81%
NKE,25.71%,Buy,4.32%,16.51%,5.39%,11.27%,24.07%,Buy,-35.92%,-24.69%,35.61%,98.03,77.98,34,13,96.75,4.64%,-6.38%,-7.87%
BA,29.83%,Buy,25.75%,,10.66%,,,,,,,196.05,151.00,22,,,38.28%,-9.06%,-14.52%
MDT,4.89%,Hold,4.78%,7.37%,4.85%,22.00%,5.93%,Buy,105.10%,99.57%,85.60%,94.07,89.68,16,6,95.00,4.66%,4.94%,3.49%
FI,0.94%,Buy,8.42%,16.12%,,22.94%,-5.87%,Buy,76.93%,81.47%,75.31%,204.92,203.02,25,9,191.11,4.53%,3.51%,3.99%
UPS,12.96%,Buy,3.93%,17.35%,5.31%,12.49%,16.78%,Buy,37.05%,-3.07%,55.41%,151.18,133.84,23,11,156.30,8.99%,1.17%,4.88%
SBUX,6.58%,Buy,7.56%,14.58%,9.17%,17.53%,,,12.32%,10.11%,16.15%,103.48,97.09,25,,,11.49%,8.65%,8.74%
ADI,13.82%,Buy,10.43%,18.96%,4.39%,18.64%,12.64%,Buy,-12.60%,-2.20%,66.75%,247.68,217.60,21,9,245.11,-10.62%,-22.94%,-25.34%
CB,4.22%,Buy,6.67%,8.35%,,1.58%,4.39%,Buy,-25.87%,2.41%,15.88%,289.00,277.29,20,18,289.47,,,
GILD,-3.62%,Buy,1.21%,90.11%,2.75%,13.41%,-0.24%,Hold,-8.38%,-13.59%,69.70%,86.95,90.22,20,3,90.00,4.88%,4.26%,1.33%
RIO,,Buy,-1.17%,-1.45%,0.68%,0.05%,,,5.77%,13.35%,5.95%,,65.50,3,,,6.87%,0.86%,-0.22%
MU,38.67%,Strong Buy,19.68%,44.58%,9.79%,86.55%,46.29%,Strong Buy,,1208.87%,,146.28,105.49,26,20,154.32,90.06%,56.72%,96.13%
BMY,-5.76%,Hold,-0.59%,885.06%,-1.47%,10.28%,,,95.20%,-81.51%,,52.73,55.95,11,,,0.13%,4.97%,2.07%
DE,5.31%,Buy,-4.93%,-8.50%,,-1.86%,6.56%,Buy,-43.16%,-25.84%,-51.52%,421.63,400.37,17,8,426.63,-37.23%,-24.55%,-29.33%
IBN,,,13.73%,11.65%,,,,,1.52%,6.20%,6.80%,,30.99,,,,,,
MMC,0.91%,Hold,5.74%,8.70%,5.21%,10.82%,2.16%,Hold,18.97%,17.62%,10.04%,223.56,221.55,16,12,226.33,6.72%,7.92%,6.75%
SONY,23.55%,Strong Buy,1.59%,8.46%,,,19.67%,Buy,23.15%,439.26%,375.54%,22.30,18.05,3,1,21.60,-0.08%,-1.63%,8.20%
PLD,14.77%,Buy,7.18%,-7.11%,,6.10%,23.22%,Strong Buy,-4.67%,16.51%,8.82%,131.33,114.43,18,2,141.00,,,
MELI,10.81%,Strong Buy,24.27%,32.88%,22.73%,35.72%,6.82%,Strong Buy,50.53%,95.33%,199.37%,2316.00,2090.01,15,4,2232.50,23.02%,42.67%,42.63%
