"Date";"$RIO";"$HSBC";"$CSCO";"$TGT";"$CVS"
"1992-01-28";;;;;
"1993-01-28";;;;;
"1993-04-30";;;;;
"1993-07-24";;;;;
"1993-07-30";;;;;
"1993-10-29";;;;;
"1994-01-28";;;;0,245;
"1994-01-29";;;;;
"1994-04-29";;;;0,288;
"1994-04-30";;;;;
"1994-07-29";;;;0,293;
"1994-07-30";;;;;
"1994-10-28";;;;0,273;
"1994-10-29";;;;;
"1994-12-30";;;;;
"1995-01-27";;;;0,232;
"1995-01-28";;;5,577;;
"1995-04-28";;;;0,223;
"1995-04-29";;;5,918;;
"1995-07-28";;;;0,249;
"1995-07-29";;;6,813;;
"1995-10-27";;;;0,228;
"1995-10-28";;;7,931;;
"1995-12-30";;;;;
"1996-01-27";;;7,225;;
"1996-02-02";;;;0,229;
"1996-03-29";;;;;
"1996-04-27";;;7,878;;
"1996-05-03";;;;0,289;
"1996-06-28";;;;;
"1996-07-27";;;6,852;;
"1996-08-02";;;;0,285;
"1996-09-27";;;;;
"1996-10-25";;;8,681;;
"1996-11-01";;;;0,305;
"1996-12-30";;;;;0,375
"1997-01-24";;;8,345;;
"1997-01-31";;;;0,322;
"1997-03-28";;;;;0,408
"1997-04-25";;;5,158;;
"1997-05-02";;;;0,381;
"1997-06-27";;;;;0,399
"1997-07-25";;;8,244;;
"1997-08-01";;;;0,525;
"1997-09-26";;;;;0,661
"1997-10-24";;;7,833;;
"1997-10-31";;;;0,509;
"1997-12-30";;;;;0,802
"1998-01-23";;;8,008;;
"1998-01-30";;;;0,572;
"1998-03-27";;;;;0,868
"1998-04-24";;;9,38;;
"1998-05-01";;;;0,697;
"1998-06-26";;;;;1,025
"1998-07-24";;;11,936;;
"1998-07-31";;;;0,728;
"1998-09-25";;;;;1,207
"1998-10-23";;;9,993;;
"1998-10-30";;;;0,632;
"1998-12-30";;;;;1,404
"1999-01-22";;;16,158;;
"1999-01-29";;;;0,917;
"1999-03-26";;;;;1,192
"1999-04-30";;;16,518;0,95;
"1999-06-25";;;;;1,223
"1999-07-30";;;16,45;0,894;
"1999-09-24";;;;;0,92
"1999-10-29";;;18,085;0,873;
"1999-12-31";;;;;0,864
"2000-01-28";;;23,69;0,824;
"2000-03-31";;;;;0,786
"2000-04-28";;;28,686;0,882;
"2000-06-30";;;;;0,814
"2000-07-28";;;23,308;0,795;
"2000-09-29";;;;;0,915
"2000-10-27";;;16,58;0,622;
"2000-12-29";;;;;1,169
"2000-12-30";;;;;
"2001-01-26";;;11,548;;
"2001-02-02";;;;0,899;
"2001-03-30";;;;;1,108
"2001-04-27";;;4,786;;
"2001-05-04";;;;0,943;
"2001-06-29";;;;;0,713
"2001-07-27";;;6,258;;
"2001-08-03";;;;0,903;
"2001-09-28";;;;;0,597
"2001-10-26";;;6,271;;
"2001-11-02";;;;0,781;
"2001-12-28";;;;;0,527
"2001-12-30";;;;;
"2002-01-25";;;7,672;;
"2002-02-01";;;;0,983;
"2002-03-29";;;;;0,589
"2002-04-26";;;5,54;;
"2002-05-03";;;;0,971;
"2002-06-28";;;;;0,514
"2002-07-26";;;4,572;;
"2002-08-02";;;;0,666;
"2002-09-27";;;;;0,452
"2002-10-25";;;4,444;;
"2002-11-01";;;;0,651;
"2002-12-27";;;;;0,39
"2002-12-30";;3,92;;;
"2003-01-24";;;5,213;;
"2003-01-31";;;;0,685;
"2003-03-28";;;;;0,4
"2003-04-25";;;5,366;;
"2003-05-02";;;;0,796;
"2003-06-27";;;;;0,439
"2003-07-25";;;7,094;;
"2003-08-01";;;;0,919;
"2003-09-26";;;;;0,483
"2003-10-24";;;7,196;;
"2003-10-31";;;;0,971;
"2003-12-30";;3,639;;;
"2004-01-02";;;;;0,531
"2004-01-23";;;9,52;;
"2004-01-30";;;;0,823;
"2004-04-02";;;;;0,509
"2004-04-30";;;6,902;0,915;
"2004-07-02";;;;;0,6
"2004-07-30";;;6,416;0,9;
"2004-10-01";;;;;0,593
"2004-10-29";;;5,575;0,997;
"2004-12-30";;3,345;;;
"2004-12-31";;;;;0,589
"2005-01-28";;;4,999;0,946;
"2005-04-01";;;;;0,633
"2005-04-29";;;4,623;0,854;
"2005-07-01";;;;;0,67
"2005-07-29";;;4,935;1,047;
"2005-09-30";;;;;0,651
"2005-10-28";;;4,238;0,948;
"2005-12-30";3,662;2,914;;;0,581
"2006-01-27";;;4,446;0,905;
"2006-03-31";;;;;0,646
"2006-04-28";;;4,758;0,856;
"2006-06-30";;;;;0,64
"2006-07-28";;;3,875;0,725;
"2006-09-29";;;;;0,636
"2006-10-27";;;4,781;0,886;
"2006-12-29";;;;;0,581
"2006-12-30";3,607;2,923;;;
"2007-01-26";;;5,012;;
"2007-02-02";;;;0,896;
"2007-03-30";;;;;0,601
"2007-04-27";;;4,877;;
"2007-05-04";;;;0,835;
"2007-06-29";;;;;0,997
"2007-07-27";;;5,036;;
"2007-08-03";;;;0,832;
"2007-09-28";;;;;0,883
"2007-10-26";;;5,354;;
"2007-11-02";;;;0,795;
"2007-12-28";;;;;0,774
"2007-12-30";5,402;2,166;;;
"2008-01-25";;;3,896;;
"2008-02-01";;;;0,748;
"2008-03-28";;;;;0,692
"2008-04-25";;;3,952;;
"2008-05-02";;;;0,683;
"2008-06-27";;;;;0,67
"2008-07-25";;;3,351;;
"2008-08-01";;;;0,535;
"2008-09-26";;;;;0,589
"2008-10-24";;;2,38;;
"2008-10-31";;;;0,464;
"2008-12-30";0,626;1,3;;;0,472
"2009-01-23";;;2,351;;
"2009-01-30";;;;0,362;
"2009-03-30";;;;;0,447
"2009-04-24";;;2,833;;
"2009-05-01";;;;0,464;
"2009-06-29";;;;;0,497
"2009-07-24";;;3,494;;
"2009-07-31";;;;0,508;
"2009-09-29";;;;;0,531
"2009-10-23";;;4,02;;
"2009-10-30";;;;0,562;
"2009-12-30";1,954;1,758;;;0,463
"2010-01-22";;;3,719;;
"2010-01-29";;;;0,59;
"2010-03-30";;;;;0,516
"2010-04-30";;;4,086;0,636;
"2010-06-29";;;;;0,408
"2010-07-30";;;3,291;0,568;
"2010-09-29";;;;;0,442
"2010-10-29";;;3,057;0,56;
"2010-12-30";2,774;2,221;;;0,493
"2011-01-28";;;2,739;0,571;
"2011-03-30";;;;;0,479
"2011-04-29";;;2,26;0,502;
"2011-06-29";;;;;0,507
"2011-07-29";;;2,032;0,518;
"2011-09-29";;;;;0,437
"2011-10-28";;;2,285;0,539;
"2011-12-30";1,588;1,615;;;0,496
